순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,예가대비 투찰률(%),기초대비 투찰률(%),기초대비 사정률(%),추첨번호,투찰일시,비고
1,1348120104.0,(주)씨월드정보기술,남형연,분석,39948078,87.762,87.657,-0.10001 (99.89999),,2015/06/16 15:52:41,
2,1108131416.0,중앙하이텔 주식회사,김광헌,분석,39949520,87.765,87.66,-0.09640 (99.9036),,2015/06/16 09:41:09,
3,2048620126.0,(주)상부사종합건설,이상만,분석,39956804,87.781,87.676,-0.07818 (99.92182),,2015/06/17 09:42:39,
4,2208798467.0,주식회사 태산이에이지,최홍석,분석,39962874,87.795,87.689,-0.06301 (99.93699),,2015/06/16 13:54:42,
5,1288147108.0,주식회사 씨앤씨전력,정행엽,분석,39963500,87.796,87.691,-0.06144 (99.93856),,2015/06/15 14:13:38,
6,2148123348.0,성제전기(주),김팔성,분석,39966034,87.802,87.696,-0.05510 (99.9449),,2015/06/17 09:45:57,
7,1118101759.0,신원전설(주),심한섭,분석,39968710,87.807,87.702,-0.04841 (99.95159),,2015/06/15 11:28:30,
8,1148137386.0,(주)유일엔지니어링,신우현,분석,39969630,87.809,87.704,-0.04611 (99.95389),,2015/06/16 08:47:13,
9,1208137120.0,(주)지티일렉콘,고광열,분석,39970033,87.81,87.705,-0.04510 (99.9549),,2015/06/16 18:24:27,
10,1198101883.0,삼지전자 주식회사,박두진,분석,39978910,87.83,87.724,-0.02290 (99.9771),,2015/06/10 12:02:54,
11,1088114068.0,(주)대인정보통신,유재호,분석,39984170,87.841,87.736,-0.00975 (99.99025),,2015/06/15 10:55:52,
12,2208104031.0,(주)율전이앤씨,강신무,분석,39985248,87.844,87.738,-0.00705 (99.99295),,2015/06/16 17:09:43,
13,4118143703.0,주식회사 용천전력,이용천,분석,39993110,87.861,87.756,0.01261 (100.01261),,2015/06/16 13:35:19,
14,1138607924.0,두성건설주식회사,안성병,분석,39993535,87.862,87.756,0.01367 (100.01367),,2015/06/16 10:33:43,
15,5048158599.0,금호이앤지 주식회사,이임식,분석,39998500,87.873,87.767,0.02609 (100.02609),,2015/06/16 16:40:36,
16,1108155460.0,주식회사 자유전설,김상중,분석,40010200,87.899,87.793,0.05535 (100.05535),,2015/06/11 11:04:10,
17,2028158261.0,(주)수화정보통신,김승균,분석,40011000,87.9,87.795,0.05735 (100.05735),,2015/06/17 09:20:25,
18,1168111572.0,남성기전(주),최전남,분석,40015820,87.911,87.805,0.06940 (100.0694),,2015/06/16 16:48:53,
19,2148108857.0,대동종합전설 주식회사,문대중,분석,40019627,87.919,87.814,0.07892 (100.07892),,2015/06/15 10:45:40,
20,1198133411.0,주식회사 나경이엔씨,윤병유,분석,40019989,87.92,87.815,0.07982 (100.07982),,2015/06/16 14:51:33,
21,1118129252.0,광원전설(주),김영선,분석,40021753,87.924,87.818,0.08424 (100.08424),,2015/06/17 10:29:12,
22,1068133832.0,(주)동양이엔씨,최두현,분석,40038709,87.961,87.856,0.12664 (100.12664),,2015/06/16 08:38:14,
23,2018147460.0,태성전기통신(주),이덕우,분석,40039130,87.962,87.857,0.12769 (100.12769),,2015/06/15 15:39:37,
24,1068146133.0,(주)케이씨이,조정휘,분석,40041300,87.967,87.861,0.13312 (100.13312),,2015/06/10 16:10:27,
25,1198137042.0,(주)진명연합전설,엄재준,분석,40043011,87.971,87.865,0.13740 (100.1374),,2015/06/16 09:13:46,
26,1198165586.0,제이케이앤티텔레콤(주),전찬화,분석,40043320,87.971,87.866,0.13817 (100.13817),,2015/06/11 13:30:29,
27,2108122823.0,우영정보통신(주),황인희,분석,40046250,87.978,87.872,0.14550 (100.1455),,2015/06/17 08:54:37,
28,2158138830.0,주식회사와이드이엔씨,최주섭,분석,40047100,87.98,87.874,0.14762 (100.14762),,2015/06/17 09:23:22,
29,2198106704.0,유복전기(주),유정식,분석,40051708,87.99,87.884,0.15915 (100.15915),,2015/06/14 16:38:49,
30,1358131171.0,(주)금성전기통신공사,김윤환,분석,40052090,87.991,87.885,0.16010 (100.1601),,2015/06/12 09:11:06,
31,2208110402.0,정안전기(주),이학용,분석,40053024,87.993,87.887,0.16244 (100.16244),,2015/06/15 10:43:22,
32,2198128028.0,(주)성신네트워크,강성범,분석,40056000,87.999,87.894,0.16988 (100.16988),,2015/06/10 10:59:07,
33,2088100603.0,(주)전우사,김한재,분석,40056000,87.999,87.894,0.16988 (100.16988),,2015/06/16 13:17:10,
