순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,예가대비 투찰률(%),기초대비 투찰률(%),기초대비 사정률(%),추첨번호,투찰일시,비고
1,1018151776,(주)지디시,김승환,분석,129378965.0,87.745,87.865,0.13774 (100.13774),,0000/00/00 00:00:00,적격대상
2,1208711248,(주)제이에이네트웍스,변성암,분석,129384200.0,87.748,87.869,0.14179 (100.14179),,0000/00/00 00:00:00,적격대상
3,2298117246,투빅스(주),김정란,분석,129387000.0,87.75,87.871,0.14395 (100.14395),,0000/00/00 00:00:00,적격대상
4,1088142910,주식회사 세온이엠에스,조상현,분석,129391317.0,87.753,87.874,0.14730 (100.1473),,0000/00/00 00:00:00,적격대상
5,1170233690,화진정보통신,김병철,분석,129392737.0,87.754,87.875,0.14840 (100.1484),,0000/00/00 00:00:00,적격대상
6,1068125614,(주)한국전자정보시스템,김흥주,분석,129393380.0,87.754,87.875,0.14889 (100.14889),,0000/00/00 00:00:00,적격대상
7,2118145912,영남전기통신 주식회사,장한목,분석,129394546.0,87.755,87.876,0.14980 (100.1498),,0000/00/00 00:00:00,적격대상
8,1188110211,(주)텔레텍코리아,윤광수,분석,129394800.0,87.755,87.876,0.14999 (100.14999),,0000/00/00 00:00:00,적격대상
9,1088179135,주왕전기통신(주),장진섭,분석,129398681.0,87.758,87.879,0.15300 (100.153),,0000/00/00 00:00:00,적격대상
10,,주식회사 웰정보기술,강희춘,분석,129401523.0,87.76,87.881,0.15520 (100.1552),,0000/00/00 00:00:00,적격대상
11,1108153161,(주)나이츠넷,이용현,분석,129401910.0,87.76,87.881,0.15549 (100.15549),,0000/00/00 00:00:00,적격대상
12,,(주)삼우미디텍,표준영,분석,129405910.0,87.763,87.884,0.15859 (100.15859),,0000/00/00 00:00:00,적격대상
13,2108168251,풀무엔지니어링주식회사,황윤상,분석,129410568.0,87.766,87.887,0.16220 (100.1622),,0000/00/00 00:00:00,적격대상
14,1178142651,주식회사 조은미디어,조태수,분석,129410950.0,87.766,87.887,0.16249 (100.16249),,0000/00/00 00:00:00,적격대상
15,10181*****,(주)넥슨정보통신,신양인,분석,129412110.0,87.767,87.888,0.16339 (100.16339),,0000/00/00 00:00:00,적격대상
16,2128142640,팍스코이앤아이(주),박경인,분석,129413000.0,87.768,87.888,0.16408 (100.16408),,0000/00/00 00:00:00,적격대상
17,2038149028,대륭중공건설(주),박임우,분석,129415192.0,87.769,87.89,0.16577 (100.16577),,0000/00/00 00:00:00,적격대상
18,1058606899,이화티티씨(주),이선정,분석,129416446.0,87.77,87.891,0.16675 (100.16675),,0000/00/00 00:00:00,적격대상
19,1188109785,주식회사 안세기술,이용안,분석,129422000.0,87.774,87.895,0.17104 (100.17104),,0000/00/00 00:00:00,적격대상
20,2100412872,유광미디어,김유성,분석,129424900.0,87.776,87.897,0.17329 (100.17329),,0000/00/00 00:00:00,적격대상
21,1018151121,주식회사 경원전력,최경택,분석,129428913.0,87.779,87.899,0.17639 (100.17639),,0000/00/00 00:00:00,적격대상
22,1098160416,(주)용진정보통신,도용석,분석,129429042.0,87.779,87.899,0.17649 (100.17649),,0000/00/00 00:00:00,적격대상
23,2068164028,주식회사 이지아이앤씨,오장은,분석,129433500.0,87.782,87.902,0.17995 (100.17995),,0000/00/00 00:00:00,적격대상
