순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,가격점수,예가대비 투찰률(%)  A,기초대비 투찰률(%),기초대비 사정률(%)  A,추첨번호,투찰일시,비고
1,1178140497,주식회사동일그린시스  [최종낙찰],김영규,분석,179410000.0,75.0,92.315,91.996,4.77159 (104.77159),3 1,2020/10/27 09:50:55,
2,2148186794,주식회사 리트코,정종경,분석,185268000.0,75.0,95.347,94.999,8.19493 (108.19493),3 15,2020/10/26 19:19:43,
-1,1278181893,오푸스(주),허도영,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-2,1058199938,삼호전자통신(주),이경희,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-3,1208102072,일광이앤씨 주식회사,김국환,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-4,6048111797,주식회사글로벌엔씨,임채익,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-5,1358187544,주식회사 보룡건설,김병호,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-6,1018700532,주식회사 우리통신,박현준,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-7,2208110402,정안전기(주),이학용,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-8,1198611222,(주)제이에이티,이세창,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-9,1248623598,대성이엔에프(주),김태성,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-10,2118850165,해음전기(주),김년봉,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-11,1248174165,(주)고려시스템,박가순,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-12,2068179706,(주)씨엠유니버샬,전재용,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-13,1128140075,(주)동영미디어,당유상,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-14,2218120693,주식회사 일동에너텍,김종삼,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-15,6108600214,(주)철탑,권용선,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-16,1278660229,주식회사 디오건설,임성찬,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-17,1238180252,(주)신아시스템,송인수,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-18,1148605967,주식회사일렉트코리아,정장범,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-19,6108169407,(주) 호원정보통신,윤옥순,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-20,1308630454,주식회사 에스엠에이,김성태,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-21,6858100800,태봉전력 주식회사,이민정,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-22,1288618438,주식회사 엔지스웨이,최영재,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-23,3138114938,투빈스 주식회사,전혜숙,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-24,2048651425,주식회사 메이사운드,심문섭,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-25,1240367481,중앙통신,이대근,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-26,1171187825,신원전자,안희덕,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
-27,1328197626,(주)그린전기,민순봉,분석,,-1690.6,,,,,0000/00/00 00:00:00,서류미제출
