순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,예가대비 투찰률(%),기초대비 투찰률(%),기초대비 사정률(%),추첨번호,투찰일시,비고
1,2118640396,주식회사 선진콘트롤 엔 엑세스,이철희,분석,74220297,88.012,87.627,-0.41790 (99.5821),,0000/00/00 00:00:00,
2,1388195999,가후자동화기술 주식회사,박우순,분석,74230000,88.024,87.638,-0.40489 (99.59511),,0000/00/00 00:00:00,
3,1098182104,로지시스템(주),노경호,분석,74274920,88.077,87.691,-0.34462 (99.65538),,0000/00/00 00:00:00,
4,1078151662,(주)한국스카다,윤장섭,분석,74315780,88.125,87.74,-0.28979 (99.71021),,0000/00/00 00:00:00,
5,2068117262,주식회사 신영정보기술,최영묵,분석,74320400,88.131,87.745,-0.28360 (99.7164),,0000/00/00 00:00:00,
6,1218623721,주식회사 우리아이티,천재호,분석,74325462,88.137,87.751,-0.27680 (99.7232),,0000/00/00 00:00:00,
7,1318149567,아이에스 주식회사,인성철,분석,74331800,88.144,87.758,-0.26830 (99.7317),,0000/00/00 00:00:00,
8,2068625883,주식회사 누리제어시스템,박상진,분석,74334100,88.147,87.761,-0.26521 (99.73479),,0000/00/00 00:00:00,
9,1368108673,삼덕전기(주),이문수,분석,74347522,88.163,87.777,-0.24721 (99.75279),,0000/00/00 00:00:00,
10,1138131356,중원기전(주),김창중,분석,74357950,88.175,87.789,-0.23321 (99.76679),,0000/00/00 00:00:00,
11,1388138998,(주)에쓰엔씨정보기술,조필호,분석,74391940,88.216,87.829,-0.18761 (99.81239),,0000/00/00 00:00:00,
12,1078165583,주식회사동국일렉콘스,김교봉,분석,74393100,88.217,87.831,-0.18605 (99.81395),,0000/00/00 00:00:00,
13,1348178362,이에스피주식회사,김영임,분석,74407000,88.234,87.847,-0.16740 (99.8326),,0000/00/00 00:00:00,
14,1138629821,동문이엔티 주식회사,송요일,분석,74415292,88.243,87.857,-0.15628 (99.84372),,0000/00/00 00:00:00,
15,1188117437,탑인더스트리(주),이정임,분석,74431750,88.263,87.876,-0.13420 (99.8658),,0000/00/00 00:00:00,
16,1268660279,주식회사 국민이엠씨,박성순,분석,74438974,88.271,87.885,-0.12450 (99.8755),,0000/00/00 00:00:00,
17,1080930233,제네시스이앤씨,마상우,분석,74445904,88.28,87.893,-0.11521 (99.88479),,0000/00/00 00:00:00,
18,1068147942,태양이엠씨(주),선오규,분석,74461890,88.299,87.912,-0.09376 (99.90624),,0000/00/00 00:00:00,
19,1238600684,세기산전 주식회사,김치인,분석,74486000,88.327,87.94,-0.06141 (99.93859),,0000/00/00 00:00:00,
20,1278612810,(주)가온테크,장양순,분석,74491109,88.333,87.947,-0.05455 (99.94545),,0000/00/00 00:00:00,
21,1232861527,삼성계기공업,김진택,분석,74513000,88.359,87.972,-0.02518 (99.97482),,0000/00/00 00:00:00,
22,1228192774,주식회사 나은엔지니어링,김철호,분석,74519618,88.367,87.98,-0.01630 (99.9837),,0000/00/00 00:00:00,
23,2098123540,"주식회사 에이치코비 (H-KORBI Co., Ltd.)",이환석,분석,74536000,88.386,88.0,0.00568 (100.00568),,0000/00/00 00:00:00,
24,2208200181,사회복지법인한국청각장애인복지회,심계원,분석,74540000,88.391,88.004,0.01104 (100.01104),,0000/00/00 00:00:00,
25,1168111572,남성기전(주),최전남,분석,74546270,88.399,88.012,0.01946 (100.01946),,0000/00/00 00:00:00,
26,2158173822,삼일씨티에스(주),최종원,분석,74566577,88.423,88.036,0.04670 (100.0467),,0000/00/00 00:00:00,
27,1018624600,주식회사 휴텍이앤이,이명종,분석,74574100,88.432,88.044,0.05680 (100.0568),,0000/00/00 00:00:00,
28,1078190501,상림이엔지(주),박태준,분석,74578350,88.437,88.05,0.06250 (100.0625),,0000/00/00 00:00:00,
29,1078212647,사단법인 한국장애인정치포럼,배영환,분석,74580210,88.439,88.052,0.06499 (100.06499),,0000/00/00 00:00:00,
30,1138185866,(주)신우에프에이,김동언,분석,74619600,88.486,88.098,0.11784 (100.11784),,0000/00/00 00:00:00,
31,2298138071,주식회사 싸이몬,안재봉,분석,74626420,88.494,88.106,0.12699 (100.12699),,0000/00/00 00:00:00,
32,1298149147,주식회사 파이브텍,김진태,분석,74655570,88.528,88.141,0.16611 (100.16611),,0000/00/00 00:00:00,
33,5358601509,주식회사 다온테크놀로지,정재성,분석,74661150,88.535,88.147,0.17359 (100.17359),,0000/00/00 00:00:00,
34,1138141835,주식회사 고려티에스아이,이중석,분석,74663540,88.538,88.15,0.17680 (100.1768),,0000/00/00 00:00:00,
