순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,예가대비 투찰률(%),기초대비 투찰률(%),기초대비 사정률(%),추첨번호,투찰일시,비고
1,1088149704,이엔트컴(주),백석환,분석,36772300,82.995,83.214,0.26396 (100.26396),,2021/09/13 06:24:11,1순위
2,1048159651,(주)성우음향정보통신,송민자,분석,36778012,83.008,83.227,0.27953 (100.27953),,2021/09/15 08:47:03,2순위
3,1198629800,주식회사 메카넷,천수연,분석,36782363,83.018,83.236,0.29140 (100.2914),,2021/09/10 17:42:05,3순위
4,1108190808,노드정보기술(주),정상권,분석,36809268,83.078,83.297,0.36475 (100.36475),,2021/09/15 09:50:50,4순위
5,1068641638,(주)매트릭스미디어,김진성,분석,36811130,83.083,83.301,0.36983 (100.36983),,2021/09/15 09:30:24,5순위
6,7098602638,주식회사 시그널아이씨티,강민희,분석,36824760,83.113,83.332,0.40700 (100.407),,2021/09/15 09:06:50,6순위
7,1138163445,주식회사 삼도통신,이정경,분석,36850000,83.17,83.389,0.47582 (100.47582),,2021/09/13 08:44:08,7순위
8,7968600745,마스트아이엔씨 주식회사,전병호,분석,36882930,83.245,83.464,0.56560 (100.5656),,2021/09/10 12:23:25,8순위
9,1138618964,주식회사 에스엠플러스정보통신,왕성모,분석,36887470,83.255,83.474,0.57798 (100.57798),,2021/09/14 09:07:27,9순위
10,1058649262,주식회사 노하우전기통신,임창배,분석,36888130,83.256,83.476,0.57978 (100.57978),,2021/09/10 13:32:46,10순위
11,1148190678,주식회사 에드원,김춘걸,분석,36910000,83.306,83.525,0.63941 (100.63941),,2021/09/08 17:16:32,11순위
12,2098211809,사단법인 해오름장애인협회,노영주,분석,36925919,83.342,83.561,0.68282 (100.68282),,2021/09/10 17:12:12,12순위
13,6768601611,주식회사 루트웰,노덕권,분석,36940780,83.375,83.595,0.72334 (100.72334),,2021/09/15 09:38:51,13순위
14,2748800123,중앙씨앤티 주식회사,윤영진,분석,37012000,83.536,83.756,0.91753 (100.91753),,2021/09/14 15:03:47,14순위
15,2078147814,(주)대호엔지니어링,윤용상,분석,37397000,84.405,84.627,1.96727 (101.96727),,2021/09/13 09:27:31,15순위
16,1138137229,두복산전(주),이영두,분석,37408820,84.432,84.654,1.99950 (101.9995),,2021/09/14 09:34:36,16순위
17,5518100318,주식회사 씨스테크,류니나,분석,37921140,85.588,85.813,3.39640 (103.3964),,2021/09/14 23:29:48,17순위
18,1188114949,이주씨스템(주),이복균,분석,37949680,85.652,85.878,3.47422 (103.47422),,2021/09/15 09:30:50,18순위
19,1088167041,(주)가디엘,최혜심,분석,38445300,86.771,87.0,4.82559 (104.82559),,2021/09/14 16:49:46,19순위
20,1350976376,킴스인터내셔날,김백규,분석,38808727,87.591,87.822,5.81651 (105.81651),,2021/09/07 15:08:01,20순위
