순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,예가대비 투찰률(%),기초대비 투찰률(%),기초대비 사정률(%),추첨번호,투찰일시,비고
1,5298100062,주식회사 알에프코리아  [최종낙찰],신현성,분석,63962750,87.745,87.804,0.06750 (100.0675),5 1,2023/02/13 09:46:11,
2,2188120741,케이씨티정보통신(주),백형은,분석,63963320,87.745,87.805,0.06839 (100.06839),4 10,2023/02/13 09:02:11,
3,2648127825,주식회사 제이원아이티시스템,이준호,분석,63964220,87.747,87.806,0.06980 (100.0698),11 9,2023/02/10 09:34:22,
4,1188115778,대신통신기술(주),김지영,분석,63964500,87.747,87.806,0.07024 (100.07024),2 5,2023/02/13 11:49:27,
5,1288704800,주식회사 드림하이테크,최서유,분석,63966190,87.749,87.808,0.07288 (100.07288),10 8,2023/02/13 13:59:04,
6,1138604612,공사뱅크 주식회사,이현우,분석,63967863,87.752,87.811,0.07550 (100.0755),11 12,2023/02/13 09:16:07,
7,1098154781,(주)공항엔지니어링,박필립,분석,63969530,87.754,87.813,0.07811 (100.07811),4 8,2023/02/13 21:42:19,
8,6378801279,주식회사정암정보통신,조강수,분석,63970350,87.755,87.814,0.07939 (100.07939),6 1,2023/02/14 09:10:06,
9,1188110211,(주)텔레텍코리아,윤광수,분석,63970740,87.756,87.815,0.08000 (100.08),4 14,2023/02/09 15:12:50,
10,1058693453,주식회사태융정보통신,문성준,분석,63972070,87.757,87.817,0.08208 (100.08208),2 14,2023/02/13 23:18:35,
11,1068615367,대성아이넷(주),이충은,분석,63974317,87.761,87.82,0.08560 (100.0856),11 15,2023/02/10 12:57:23,
12,1298163829,(주)시원코리아,임희득,분석,63979230,87.767,87.826,0.09328 (100.09328),3 9,2023/02/10 19:10:36,
13,2290162579,우성전기통신,박노선,분석,63980707,87.769,87.828,0.09559 (100.09559),7 10,2023/02/10 12:33:59,
14,1078140904,대월기전(주),김승연,분석,63981720,87.771,87.83,0.09718 (100.09718),11 1,2023/02/10 09:01:41,
15,1108179327,(주) 유엘네트웍스,정재순,분석,63983576,87.773,87.832,0.10008 (100.10008),1 7,2023/02/10 15:25:24,
16,2158689085,(주)에스지테크놀러지,손병학,분석,63984100,87.774,87.833,0.10090 (100.1009),10 13,2023/02/13 08:53:14,
17,2198128028,(주)성신네트워크,강성범,분석,63984600,87.775,87.834,0.10169 (100.10169),7 10,2023/02/10 18:19:09,
18,8958700597,주식회사 아이티앤에스,김세영,분석,63984990,87.775,87.834,0.10230 (100.1023),1 12,2023/02/10 10:40:22,
