순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,예가대비 투찰률(%),기초대비 투찰률(%),기초대비 사정률(%),추첨번호,투찰일시,비고
1,1058760978,주식회사 씨유아이앤티,오재명,분석,30094846,87.784,88.254,0.58086 (100.58086),1 7,0000/00/00 00:00:00,낙찰
2,1198642201,(주)한일이앤씨,서정석,분석,30104985,87.813,88.284,0.61475 (100.61475),6 13,0000/00/00 00:00:00,
3,2188120528,(주)엠앤제이,하준석,분석,30131980,87.892,88.363,0.70497 (100.70497),10 14,0000/00/00 00:00:00,
4,1188109728,득진통신(주),김진섭,분석,30149224,87.942,88.414,0.76260 (100.7626),5 14,0000/00/00 00:00:00,
5,2098124011,(주)주암전기통신,정한석,분석,30160264,87.975,88.446,0.79950 (100.7995),11 13,0000/00/00 00:00:00,
6,1208637620,주원통신기술 주식회사,김준기,분석,30181986,88.038,88.51,0.87209 (100.87209),2 6,0000/00/00 00:00:00,
7,2078147814,(주)대호엔지니어링,윤용상,분석,30194000,88.073,88.545,0.91225 (100.91225),5 10,0000/00/00 00:00:00,
8,2208691701,주식회사 뉴젠스,임영필,분석,30241198,88.211,88.683,1.06999 (101.06999),7 8,0000/00/00 00:00:00,
9,2068111894,(주)아파트피아,곽복동,분석,30362500,88.564,89.039,1.47539 (101.47539),5 11,0000/00/00 00:00:00,
10,2078148017,(주)명신시스템,노근식,분석,30434691,88.775,89.251,1.71667 (101.71667),8 14,0000/00/00 00:00:00,
11,2158714581,씨엠티정보통신(주),이광운,분석,30512333,89.002,89.478,1.97616 (101.97616),5 7,0000/00/00 00:00:00,
-12,2078127900,합동전자통신(주),하명용,분석,30080820,87.743,88.213,0.53398 (100.53398),8 14,0000/00/00 00:00:00,
-13,2048170015,(주)하남통신,김종화,분석,30037230,87.616,88.085,0.38830 (100.3883),4 5,0000/00/00 00:00:00,
-14,2130230588,태극정보통신,이상호,분석,30036990,87.615,88.085,0.38750 (100.3875),9 13,0000/00/00 00:00:00,
-15,2118743406,보성통신기술(주),장승익,분석,30035550,87.611,88.08,0.38269 (100.38269),6 8,0000/00/00 00:00:00,
-16,2098122288,하나로넷주식회사,이 오,분석,30033478,87.605,88.074,0.37576 (100.37576),8 9,0000/00/00 00:00:00,
-17,2148108857,대동종합전설 주식회사,문대중,분석,30026966,87.586,88.055,0.35400 (100.354),14 15,0000/00/00 00:00:00,
-18,1068619820,주식회사유엔콘트롤,남성모,분석,30021431,87.57,88.039,0.33550 (100.3355),7 14,0000/00/00 00:00:00,
-19,1108604272,소리콤 주식회사,정재홍,분석,30009313,87.534,88.003,0.29500 (100.295),5 13,0000/00/00 00:00:00,
-20,2208104031,(주)율전이앤씨,강신무,분석,30008841,87.533,88.002,0.29342 (100.29342),6 8,0000/00/00 00:00:00,
-21,1198664210,하하정보통신 주식회사,"송정식, 정만용",분석,30007200,87.528,87.997,0.28794 (100.28794),12 14,0000/00/00 00:00:00,
-22,2048105154,우일정보기술 주식회사,이희문,분석,30004250,87.519,87.989,0.27808 (100.27808),8 14,0000/00/00 00:00:00,
-23,2168107645,(주)한신기전통신,한후수,분석,30003480,87.517,87.986,0.27550 (100.2755),8 9,0000/00/00 00:00:00,
-24,2158784530,주식회사 대운텔레시스,장안성,분석,29997972,87.501,87.97,0.25709 (100.25709),7 8,0000/00/00 00:00:00,
-25,2048635411,주식회사 화산에스티아이,이명재,분석,29993930,87.489,87.958,0.24359 (100.24359),4 12,0000/00/00 00:00:00,
-26,1108172440,주식회사 다보파워코리아,강희철,분석,29991779,87.483,87.952,0.23640 (100.2364),5 7,0000/00/00 00:00:00,
-27,2118612681,(주)해우정보시스템,김병헌,분석,29991598,87.483,87.951,0.23579 (100.23579),3 15,0000/00/00 00:00:00,
-28,1148164393,대영유비텍 주식회사,조근환,분석,29991060,87.481,87.95,0.23399 (100.23399),7 8,0000/00/00 00:00:00,
-29,2068172829,한사랑엔지니어링 주식회사,권갑순,분석,29989625,87.477,87.946,0.22920 (100.2292),4 15,0000/00/00 00:00:00,
-30,2018603701,소성정보기술 (주),김금남,분석,29976628,87.439,87.908,0.18576 (100.18576),7 8,0000/00/00 00:00:00,
-31,1138137229,두복산전(주),이영두,분석,29976496,87.439,87.907,0.18532 (100.18532),2 4,0000/00/00 00:00:00,
-32,1068184554,(주)송화전기통신,고진홍,분석,29975980,87.437,87.906,0.18359 (100.18359),3 9,0000/00/00 00:00:00,
