순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,예가대비 투찰률(%),기초대비 투찰률(%),기초대비 사정률(%),추첨번호,투찰일시,비고
1,1058163594,(주)영원씨앤아이,김성호,분석,116834280,87.761,87.356,-0.44270 (99.5573),,2015/07/08 11:13:54,
2,1408141889,(주)내일이엔시,마명자,분석,116836626,87.762,87.358,-0.44070 (99.5593),,2015/07/08 14:19:43,
3,1068180878,(주)신보,박종규,분석,116848250,87.771,87.366,-0.43080 (99.5692),,2015/07/09 09:19:45,
4,2158702974,(주)주현공영,정진경,분석,116848361,87.771,87.367,-0.43070 (99.5693),,2015/07/08 10:02:24,
5,1054184031,영우전설,신도현,분석,116850470,87.773,87.368,-0.42891 (99.57109),,2015/07/07 11:40:36,
6,1078682044,명승파워넷 주식회사,공건식,분석,116855750,87.777,87.372,-0.42441 (99.57559),,2015/07/08 16:53:14,
7,2128168640,(주)진양이앤씨,이재돈,분석,116856577,87.777,87.373,-0.42370 (99.5763),,2015/07/07 16:35:52,
8,1168105686,대덕전설(주),최태영,분석,116858923,87.779,87.374,-0.42170 (99.5783),,2015/07/08 11:42:38,
9,2158190836,대원일렉콘 주식회사,박윤섭,분석,116860920,87.781,87.376,-0.42000 (99.58),,2015/07/07 13:42:00,
10,1178171141,용천엔지니어링(주),현정주,분석,116873240,87.79,87.385,-0.40950 (99.5905),,2015/07/09 08:48:09,
11,1068127039,진명전기설비(주),박창호,분석,116875118,87.791,87.387,-0.40790 (99.5921),,2015/07/09 09:38:51,
12,2158618329,(주)홍건이엔씨,박근서,분석,116879990,87.795,87.39,-0.40375 (99.59625),,2015/07/09 09:35:50,
13,1118124994,오리엔트주식회사,이경미,분석,116911000,87.818,87.413,-0.37733 (99.62267),,2015/07/08 08:41:40,
14,1138150464,영동지이앤티(주),신강식,분석,116911200,87.818,87.414,-0.37716 (99.62284),,2015/07/08 08:50:08,
15,1108182875,병민전기(주),이옥화,분석,116913030,87.82,87.415,-0.37560 (99.6244),,2015/07/07 17:08:15,
16,2098124011,(주)주암전기통신,정한석,분석,116913727,87.82,87.415,-0.37500 (99.625),,2015/07/05 16:47:38,
17,2158708075,(주)민현이엔씨,김정재,분석,116928515,87.831,87.427,-0.36240 (99.6376),,2015/07/08 14:48:51,
18,1198168638,주식회사 연훈,박정호,분석,116937900,87.839,87.434,-0.35441 (99.64559),,2015/07/07 14:41:57,
19,1128141680,주식회사엠케이씨티,장재철,분석,116945650,87.844,87.439,-0.34780 (99.6522),,2015/07/09 09:18:55,
20,2098154887,주식회사 대동전력,김종진,분석,116948581,87.847,87.442,-0.34530 (99.6547),,2015/07/08 15:37:54,
21,1058661835,숭일전기주식회사,이환룡,분석,116953400,87.85,87.445,-0.34120 (99.6588),,2015/07/08 11:55:54,
22,1180217524,아이디일렉콤,송효양,분석,116953729,87.85,87.445,-0.34092 (99.65908),,2015/07/09 01:21:28,
23,2168100638,원흥전설(주),이제호,분석,116958850,87.854,87.449,-0.33655 (99.66345),,2015/07/08 10:18:21,
24,4108154473,주식회사 도림티앤씨,배찬호,분석,116960668,87.856,87.451,-0.33501 (99.66499),,2015/07/07 18:00:34,
25,1218135028,주식회사 영광전설,이덕수,분석,116985320,87.874,87.469,-0.31400 (99.686),,2015/07/09 09:35:19,
26,1058622808,상무텔레콤 주식회사,한승열,분석,116985490,87.874,87.469,-0.31385 (99.68615),,2015/07/08 09:51:49,
27,2068611642,오일러시스템 (주),이상하,분석,116986017,87.875,87.47,-0.31340 (99.6866),,2015/07/08 17:29:20,
28,1058645500,태지종합건설(주),박원석,분석,116989540,87.877,87.472,-0.31040 (99.6896),,2015/07/09 09:54:13,
