순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,예가대비 투찰률(%),기초대비 투찰률(%),기초대비 사정률(%),추첨번호,투찰일시,비고
1,1098160833,주식회사포트론  [최종낙찰],곽정례,분석,18247857,87.757,87.243,-0.57203 (99.42797),7 5,2017/02/06 09:07:49,
2,1178188899,주식회사 시큐렉스,최영희,분석,18248230,87.759,87.244,-0.57000 (99.43),9 2,2017/02/06 09:31:24,
3,1198635165,오성정보통신 주식회사,최우교,분석,18249221,87.764,87.249,-0.56460 (99.4354),15 13,2017/02/02 16:31:35,
4,1098195410,(주)신성글로벌네트워크,홍우석,분석,18249349,87.764,87.25,-0.56391 (99.43609),3 15,2017/02/03 16:51:18,
5,2208865207,주식회사 소나텍,최성욱,분석,18250230,87.769,87.254,-0.55910 (99.4409),15 6,2017/02/02 10:29:08,
6,1068615668,(주)솔로몬기술단기술사사무소,한선미,분석,18250488,87.77,87.255,-0.55770 (99.4423),12 9,2017/02/03 10:01:27,
7,1058164176,(주)신보파워텍,공민우,분석,18251110,87.773,87.258,-0.55431 (99.44569),13 6,2017/02/05 20:22:52,
8,1138192009,(주)엘트정보기술,김용호,분석,18251580,87.775,87.26,-0.55175 (99.44825),7 8,2017/02/02 11:46:32,
9,2098119463,(주)두레정보통신,임창용,분석,18251720,87.776,87.261,-0.55099 (99.44901),3 8,2017/02/03 15:50:41,
10,1068128718,서광통신 주식회사,최경석,분석,18252171,87.778,87.263,-0.54853 (99.45147),5 4,2017/02/03 18:14:16,
11,1098154781,(주)공항엔지니어링,이은순,분석,18252280,87.778,87.264,-0.54793 (99.45207),11 8,2017/02/05 17:17:07,
12,1198168638,주식회사 연훈,박정호,분석,18253767,87.786,87.271,-0.53983 (99.46017),4 10,2017/02/06 00:49:53,
13,2208604531,주식회사 월드린시스템즈,류준열,분석,18254500,87.789,87.274,-0.53584 (99.46416),3 5,2017/02/05 22:54:13,
14,1098625336,(주)쏘울아이티,최은정,분석,18256430,87.798,87.284,-0.52532 (99.47468),5 15,2017/02/03 17:59:56,
15,1078127876,동하시티개발주식회사,윤종사,분석,18256680,87.8,87.285,-0.52396 (99.47604),13 6,2017/02/03 10:54:32,
16,1138640850,주식회사 우솔네트웍스,유성옥,분석,18257130,87.802,87.287,-0.52151 (99.47849),14 10,2017/02/03 11:17:52,
17,1098161583,주식회사 호서텔넷,민경일,분석,18257378,87.803,87.288,-0.52016 (99.47984),12 3,2017/02/01 15:02:42,
18,1138636870,주식회사 나우시스템,이종한,분석,18257580,87.804,87.289,-0.51906 (99.48094),10 4,2017/02/03 09:18:02,
19,1018197466,주식회사콤위즈,정윤권,분석,18257650,87.804,87.289,-0.51868 (99.48132),10 9,2017/02/03 11:12:45,
20,1288126291,주식회사 성화,이재환,분석,18258030,87.806,87.291,-0.51660 (99.4834),3 14,2017/02/06 09:09:50,
21,2068606891,수미디어통신 주식회사,하학수,분석,18259095,87.811,87.296,-0.51080 (99.4892),2 11,2017/02/02 11:04:33,
22,1018663767,비케이전기통신 주식회사,유봉근,분석,18259100,87.811,87.296,-0.51077 (99.48923),15 7,2017/02/05 15:44:49,
23,2198114499,(주)이레에너지테크,강래원,분석,18259520,87.813,87.298,-0.50849 (99.49151),9 8,2017/02/03 11:30:56,
24,1098611773,주식회사상현엔지니어링,이재권,분석,18261750,87.824,87.309,-0.49634 (99.50366),5 9,2017/02/05 21:28:44,
25,2068690079,주식회사 제이넷시스템즈,이재천,분석,18262950,87.83,87.315,-0.48980 (99.5102),8 5,2017/02/03 09:51:09,
26,2148650480,(주)두올테크,최철호,분석,18263600,87.833,87.318,-0.48626 (99.51374),14 2,2017/02/03 18:37:59,
27,2178135988,주식회사 조은정보,조용정,분석,18264280,87.836,87.321,-0.48255 (99.51745),5 4,2017/02/02 09:28:32,
28,2208798467,주식회사 태산이에이지,최홍석,분석,18264810,87.839,87.324,-0.47966 (99.52034),3 12,2017/02/03 09:25:19,
29,2068193673,지에스네트웍스(주),임동배,분석,18265340,87.841,87.326,-0.47677 (99.52323),13 3,2017/02/03 17:51:15,
30,2118193336,(주)국제비엠에스,윤도선,분석,18265600,87.843,87.327,-0.47536 (99.52464),9 2,2017/02/06 09:20:30,
31,1018116968,(주)넥슨정보통신,신양인,분석,18266250,87.846,87.331,-0.47182 (99.52818),13 9,2017/02/02 11:26:45,
32,2158187404,두이전기통신(주),김진수,분석,18267280,87.851,87.335,-0.46620 (99.5338),14 10,2017/02/06 07:58:54,
33,1208147588,서현정보통신(주),배상만,분석,18267290,87.851,87.335,-0.46615 (99.53385),12 3,2017/02/02 16:38:47,
34,1058660665,(주)일신전업,김한경,분석,18267950,87.854,87.339,-0.46255 (99.53745),14 12,2017/02/06 09:34:21,
35,1238128751,세종텔레콤 주식회사,정진우,분석,18267990,87.854,87.339,-0.46234 (99.53766),5 14,2017/02/03 12:34:20,
36,1068644033,(주)코맥스디에스씨,안병호,분석,18268124,87.855,87.339,-0.46161 (99.53839),3 10,2017/02/06 09:53:07,
37,2130249995,에스에스브이,고영문,분석,18268720,87.858,87.342,-0.45836 (99.54164),1 11,2017/02/06 09:39:31,
38,2148705513,주식회사 케이이에스 전기공사,강성진,분석,18269110,87.859,87.344,-0.45623 (99.54377),7 2,2017/02/02 17:07:21,
39,1018176627,(주)엔터정보통신,이용구,분석,18269188,87.86,87.345,-0.45581 (99.54419),12 2,2017/02/03 15:02:06,
40,1074870357,영진정보통신,김종규,분석,18270950,87.868,87.353,-0.44621 (99.55379),6 3,2017/02/02 17:26:57,
41,4048131290,(주)아이앤씨코리아,박규성,분석,18271170,87.869,87.354,-0.44501 (99.55499),8 15,2017/02/06 09:33:43,
42,2128169519,세진시스콤주식회사,박수환,분석,18271240,87.87,87.354,-0.44463 (99.55537),2 7,2017/02/03 08:52:21,
43,1148608950,(주)알티솔루션,허병회,분석,18271330,87.87,87.355,-0.44414 (99.55586),4 13,2017/02/03 10:04:29,
44,2066762193,보성통신,문용권,분석,18271540,87.871,87.356,-0.44299 (99.55701),9 3,2017/02/06 08:42:46,
45,1138141456,(주)나우아이앤씨,안남훈,분석,18271710,87.872,87.357,-0.44207 (99.55793),6 9,2017/02/03 19:01:16,
46,1068157019,(주)세호영상,박석신,분석,18272000,87.873,87.358,-0.44049 (99.55951),3 2,2017/02/03 11:17:04,
47,2208658565,주식회사 주인정보시스템,김근호,분석,18272780,87.877,87.362,-0.43624 (99.56376),4 6,2017/02/03 09:16:44,
48,1058730625,주식회사 신한네오텍,강미순,분석,18272785,87.877,87.362,-0.43621 (99.56379),1 5,2017/02/06 08:45:09,
49,1138607472,조은케이블서비스주식회사,이을복,분석,18272840,87.877,87.362,-0.43591 (99.56409),15 13,2017/02/03 08:10:36,
50,1078626760,두인전기통신(주),안병배,분석,18272870,87.878,87.362,-0.43575 (99.56425),1 13,2017/02/03 14:09:30,
51,2068153517,뉴텔레콤(주),김을선,분석,18273000,87.878,87.363,-0.43504 (99.56496),12 8,2017/02/03 15:54:38,
52,2048624438,에스엘테크 주식회사,김한주,분석,18273465,87.88,87.365,-0.43250 (99.5675),5 13,2017/02/05 17:35:07,
53,1058735163,주식회사 씨앤엘,이관호,분석,18274144,87.884,87.368,-0.42880 (99.5712),10 5,2017/02/03 12:29:50,
54,1018148698,(주)석산텔레콤,박봉환,분석,18274455,87.885,87.37,-0.42711 (99.57289),7 15,2017/02/02 08:55:43,
55,2128196942,동진이앤씨(주),민진식,분석,18274620,87.886,87.371,-0.42621 (99.57379),3 8,2017/02/03 14:20:02,
56,1198132561,신한동력(주),오재근,분석,18274989,87.888,87.372,-0.42420 (99.5758),6 13,2017/02/04 10:24:47,
57,1078658471,우암정보통신 주식회사,김정훈,분석,18275250,87.889,87.374,-0.42278 (99.57722),15 4,2017/02/03 09:13:21,
58,4108607408,주식회사 천운정보통신,김복중,분석,18275400,87.89,87.374,-0.42196 (99.57804),12 14,2017/02/03 14:00:42,
59,1148692327,주식회사 우진미디어테크,김상범,분석,18276209,87.894,87.378,-0.41755 (99.58245),11 9,2017/02/01 14:18:07,
60,1058759262,어울림영상 주식회사,한응석,분석,18276430,87.895,87.379,-0.41635 (99.58365),3 7,2017/02/06 09:24:12,
61,1018195473,건영정보통신(주),이병옥,분석,18276450,87.895,87.379,-0.41624 (99.58376),13 7,2017/02/06 09:41:15,
