순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,예가대비 투찰률(%),기초대비 투찰률(%),기초대비 사정률(%),추첨번호,투찰일시,비고
1,1348730389,주식회사 아이티넷시스템,이병도,분석,38073071,88.475,86.529,-1.66521 (98.33479),,2017/11/22 10:36:02,1순위
2,1358126192,주식회사 부림,배우상,분석,38117320,88.578,86.63,-1.55092 (98.44908),,2017/11/23 09:08:11,2순위
3,2068663169,(주)지엠케이정보통신,현익재,분석,38152792,88.66,86.71,-1.45930 (98.5407),,2017/11/22 15:51:35,3순위
4,2208691899,(주)한결아이앤씨,이상억,분석,38153875,88.663,86.713,-1.45651 (98.54349),,2017/11/22 09:34:58,4순위
5,1078166622,솔루텍(주),최병술,분석,38176600,88.716,86.765,-1.39781 (98.60219),,2017/11/22 16:09:05,5순위
6,1298606070,(주)아이필넷,김명선,분석,38202310,88.775,86.823,-1.33141 (98.66859),,2017/11/21 09:38:25,6순위
7,2218131749,주식회사 범산,변동희,분석,38283620,88.964,87.008,-1.12140 (98.8786),,2017/11/22 10:16:23,7순위
8,1288666624,주식회사 두일정보통신,김찬제,분석,38324700,89.06,87.101,-1.01530 (98.9847),,2017/11/22 09:07:28,8순위
9,1058184717,엠에스전자통신주식회사,최민용,분석,38370000,89.165,87.204,-0.89830 (99.1017),,2017/11/22 17:33:34,9순위
10,1148615000,셔블테크놀러지(주),이상욱,분석,38416466,89.273,87.31,-0.77829 (99.22171),,2017/11/21 19:08:24,10순위
11,5208700242,주식회사 케이비글로벌미디어,김영찬,분석,39885296,92.686,90.648,3.01539 (103.01539),,2017/11/22 09:31:14,11순위
12,1148602636,(주)오라엔지니어링,오형근,분석,42200000,98.065,95.909,8.99379 (108.99379),,2017/11/22 09:00:40,12순위
