순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,예가대비 투찰률(%),기초대비 투찰률(%),기초대비 사정률(%),추첨번호,투찰일시,비고
1,1108176581,주식회사 비에스텍,신수경,분석,89044998.0,87.745,87.463,-0.32064 (99.67936),,0000/00/00 00:00:00,
2,1068601621,주식회사 동양타브,이세근,분석,89046768.0,87.747,87.465,-0.31866 (99.68134),,0000/00/00 00:00:00,
3,2118726218,주식회사 씨그테크,이윤호,분석,89049857.0,87.75,87.468,-0.31520 (99.6848),,0000/00/00 00:00:00,
4,1198178757,주식회사우신아이앤씨,이화세,분석,89051458.0,87.752,87.47,-0.31341 (99.68659),,0000/00/00 00:00:00,
5,1088195004,(주)한양케이앤이,김홍인,분석,89053430.0,87.754,87.471,-0.31121 (99.68879),,0000/00/00 00:00:00,
6,2118691240,거성일렉콤(주),박성래,분석,89056380.0,87.757,87.474,-0.30790 (99.6921),,0000/00/00 00:00:00,
7,2158199031,한소리이앤씨주식회사,전화진,분석,89058080.0,87.758,87.476,-0.30600 (99.694),,0000/00/00 00:00:00,
8,1078167709,온세텔레콤(주),박준학,분석,89058522.0,87.759,87.476,-0.30551 (99.69449),,0000/00/00 00:00:00,
9,1098643839,주식회사 케이비정보통신,지인현,분석,89059058.0,87.759,87.477,-0.30491 (99.69509),,0000/00/00 00:00:00,
10,2208869047,양지전기 주식회사,박승연,분석,89062270.0,87.762,87.48,-0.30131 (99.69869),,0000/00/00 00:00:00,
11,1138195331,(주)한남이앤씨,조재령,분석,89065040.0,87.765,87.483,-0.29821 (99.70179),,0000/00/00 00:00:00,
12,1098611773,주식회사상현엔지니어링,이재권,분석,89066560.0,87.767,87.484,-0.29651 (99.70349),,0000/00/00 00:00:00,
13,2048170015,(주)하남통신,김종화,분석,89069500.0,87.77,87.487,-0.29322 (99.70678),,0000/00/00 00:00:00,
14,2048131439,중앙텔콤(주),오충석,분석,89070400.0,87.77,87.488,-0.29221 (99.70779),,0000/00/00 00:00:00,
15,1068603240,태경이엘피 주식회사,김평석,분석,89071366.0,87.771,87.489,-0.29113 (99.70887),,0000/00/00 00:00:00,
16,2118850165,해음전기(주),김명은,분석,89072638.0,87.773,87.49,-0.28970 (99.7103),,0000/00/00 00:00:00,
17,1018178116,(주)오경컴텍,김종근,분석,89073970.0,87.774,87.492,-0.28821 (99.71179),,0000/00/00 00:00:00,
18,1041477924,바로데이타통신,이홍일,분석,89075696.0,87.776,87.493,-0.28628 (99.71372),,0000/00/00 00:00:00,
19,1178153920,엠에스원디지털 주식회사,엄종만,분석,89079330.0,87.779,87.497,-0.28221 (99.71779),,0000/00/00 00:00:00,
20,2098111724,(주)석주기업,유영만,분석,89080142.0,87.78,87.498,-0.28130 (99.7187),,0000/00/00 00:00:00,
21,1018151121,주식회사 경원전력,최경택,분석,89082730.0,87.783,87.5,-0.27841 (99.72159),,0000/00/00 00:00:00,
22,1058814068,주식회사 한강통신건설,최문봉,분석,89082820.0,87.783,87.5,-0.27831 (99.72169),,0000/00/00 00:00:00,
23,1148642486,(주)아이에스티플러스,유봉수,분석,89082910.0,87.783,87.5,-0.27820 (99.7218),,0000/00/00 00:00:00,
24,1188109728,득진통신(주),김진섭,분석,89083625.0,87.783,87.501,-0.27740 (99.7226),,0000/00/00 00:00:00,
25,1138618789,이노뎁(주),이성진,분석,89085143.0,87.785,87.503,-0.27570 (99.7243),,0000/00/00 00:00:00,
26,2108157604,주식회사 시울이엔지,김미숙,분석,89087000.0,87.787,87.504,-0.27363 (99.72637),,0000/00/00 00:00:00,
27,1088182120,(주) 포스콤 에스아이,양병기,분석,89088260.0,87.788,87.506,-0.27222 (99.72778),,0000/00/00 00:00:00,
28,2208127086,동강엠텍(주),차영문,분석,89094076.0,87.794,87.511,-0.26570 (99.7343),,0000/00/00 00:00:00,
29,2208104161,대신정보기술(주),김형섭,분석,89095600.0,87.795,87.513,-0.26400 (99.736),,0000/00/00 00:00:00,
30,1078662029,(주)크로포스아이앤씨,주영일,분석,89098820.0,87.798,87.516,-0.26039 (99.73961),,0000/00/00 00:00:00,
31,1078635181,티에스라인시스템 주식회사,최국현,분석,89100770.0,87.8,87.518,-0.25821 (99.74179),,0000/00/00 00:00:00,
32,1088122326,주식회사 주세움정보통신,염인덕,분석,89104170.0,87.804,87.521,-0.25441 (99.74559),,0000/00/00 00:00:00,
33,1013672771,전일통신,반석현,분석,89107650.0,87.807,87.525,-0.25051 (99.74949),,0000/00/00 00:00:00,
34,1138621101,(주)아이피로드,강철지,분석,89109352.0,87.809,87.526,-0.24860 (99.7514),,0000/00/00 00:00:00,
35,2178125840,(주)에이디엠,정채옥,분석,89109760.0,87.809,87.527,-0.24815 (99.75185),,0000/00/00 00:00:00,
36,2158145215,동원전척(주),박도수,분석,89115060.0,87.814,87.532,-0.24221 (99.75779),,0000/00/00 00:00:00,
37,1338700922,주식회사 대신네트워크,신종교,분석,89115500.0,87.815,87.532,-0.24172 (99.75828),,0000/00/00 00:00:00,
38,2708100175,주식회사 와이에스씨엔에스,안윤철,분석,89116321.0,87.816,87.533,-0.24080 (99.7592),,0000/00/00 00:00:00,
39,1078156371,아주전자시스템(주),이재훈,분석,89118640.0,87.818,87.535,-0.23821 (99.76179),,0000/00/00 00:00:00,
40,1288110974,주식회사 승원에이씨오,박태환,분석,89118740.0,87.818,87.536,-0.23810 (99.7619),,0000/00/00 00:00:00,
