순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,예가대비 투찰률(%),기초대비 투찰률(%),기초대비 사정률(%),추첨번호,투찰일시,비고
1,,(주)신성글로벌네트워크,,분석,19726704,87.75,87.051,-0.78990 (99.2101),,0000/00/00 00:00:00,(1) 순위
2,,주식회사 씨앤씨전력,,분석,19731750,87.772,87.074,-0.76453 (99.23547),,0000/00/00 00:00:00,(2) 순위
3,,주식회사유티월드,,분석,19733007,87.778,87.079,-0.75820 (99.2418),,0000/00/00 00:00:00,(3) 순위
4,,이룸유비쿼터스주식회사,,분석,19741298,87.815,87.116,-0.71651 (99.28349),,0000/00/00 00:00:00,(4) 순위
5,,주식회사 명성라이픽스,,분석,19749311,87.85,87.151,-0.67621 (99.32379),,0000/00/00 00:00:00,(5) 순위
6,,대흥전기통신공사,,분석,19750127,87.854,87.155,-0.67210 (99.3279),,0000/00/00 00:00:00,(6) 순위
7,,(주)동진이앤티,,분석,19750803,87.857,87.158,-0.66870 (99.3313),,0000/00/00 00:00:00,(7) 순위
8,,투빅스(주),,분석,19753288,87.868,87.169,-0.65621 (99.34379),,0000/00/00 00:00:00,(8) 순위
9,,주식회사성우아이씨티,,분석,19753980,87.871,87.172,-0.65273 (99.34727),,0000/00/00 00:00:00,(9) 순위
10,,현대에이치디에스(주),,분석,19754203,87.872,87.173,-0.65160 (99.3484),,0000/00/00 00:00:00,(10) 순위
11,,이엔트컴(주),,분석,19757100,87.885,87.186,-0.63703 (99.36297),,0000/00/00 00:00:00,(11) 순위
12,,(주)비아이씨스템,,분석,19758940,87.893,87.194,-0.62778 (99.37222),,0000/00/00 00:00:00,(12) 순위
13,,서강정보통신 주식회사,,분석,19762200,87.908,87.208,-0.61139 (99.38861),,0000/00/00 00:00:00,(13) 순위
14,,(주)제일첨단테크,,분석,19763369,87.913,87.213,-0.60551 (99.39449),,0000/00/00 00:00:00,(14) 순위
15,,영진정보통신,,분석,19763390,87.913,87.213,-0.60540 (99.3946),,0000/00/00 00:00:00,(15) 순위
16,,중앙씨앤티 주식회사,,분석,19769300,87.939,87.239,-0.57568 (99.42432),,0000/00/00 00:00:00,(16) 순위
17,,(주)위엠비,,분석,19770960,87.947,87.247,-0.56733 (99.43267),,0000/00/00 00:00:00,(17) 순위
18,,대창 이엔씨,,분석,19773120,87.956,87.256,-0.55647 (99.44353),,0000/00/00 00:00:00,(18) 순위
19,,(주)실로아이앤씨,,분석,19774643,87.963,87.263,-0.54881 (99.45119),,0000/00/00 00:00:00,(19) 순위
20,,주식회사 미소아이티,,분석,19775030,87.965,87.265,-0.54686 (99.45314),,0000/00/00 00:00:00,(20) 순위
21,,티에스퓨처 주식회사,,분석,19775300,87.966,87.266,-0.54550 (99.4545),,0000/00/00 00:00:00,(21) 순위
22,,(주)명신시스템,,분석,19777820,87.977,87.277,-0.53283 (99.46717),,0000/00/00 00:00:00,(22) 순위
23,,(주)씨에스콘트롤즈,,분석,19780887,87.991,87.291,-0.51740 (99.4826),,0000/00/00 00:00:00,(23) 순위
24,,(주) 투데이게이트,,분석,19782370,87.997,87.297,-0.50995 (99.49005),,0000/00/00 00:00:00,(24) 순위
25,,주식회사 지엔아이테크,,분석,19782950,88.0,87.3,-0.50703 (99.49297),,0000/00/00 00:00:00,(25) 순위
26,,이노뎁(주),,분석,19783213,88.001,87.301,-0.50571 (99.49429),,0000/00/00 00:00:00,(26) 순위
27,,주식회사 에스엘정보통신,,분석,19784637,88.007,87.307,-0.49854 (99.50146),,0000/00/00 00:00:00,(27) 순위
28,,두성건설주식회사,,분석,19785890,88.013,87.313,-0.49224 (99.50776),,0000/00/00 00:00:00,(28) 순위
29,,(주)신창전기,,분석,19787400,88.02,87.319,-0.48465 (99.51535),,0000/00/00 00:00:00,(29) 순위
30,,주식회사 피에스콤,,분석,19788680,88.025,87.325,-0.47821 (99.52179),,0000/00/00 00:00:00,(30) 순위
31,,주식회사 에스엔에스아이씨티,,분석,19788880,88.026,87.326,-0.47721 (99.52279),,0000/00/00 00:00:00,(31) 순위
32,,주식회사 성화,,분석,19789100,88.027,87.327,-0.47610 (99.5239),,0000/00/00 00:00:00,(32) 순위
33,,삼호전자통신(주),,분석,19789300,88.028,87.328,-0.47509 (99.52491),,0000/00/00 00:00:00,(33) 순위
34,,스크린정보통신(주),,분석,19789870,88.031,87.33,-0.47223 (99.52777),,0000/00/00 00:00:00,(34) 순위
35,,영진정보통신주식회사,,분석,19790550,88.034,87.333,-0.46881 (99.53119),,0000/00/00 00:00:00,(35) 순위
36,,주식회사 넥선,,분석,19791090,88.036,87.336,-0.46609 (99.53391),,0000/00/00 00:00:00,(36) 순위
37,,대성미디어,,분석,19791207,88.037,87.336,-0.46550 (99.5345),,0000/00/00 00:00:00,(37) 순위
38,,(주)소망아이앤티,,분석,19791286,88.037,87.336,-0.46511 (99.53489),,0000/00/00 00:00:00,(38) 순위
39,,주영전자통신주식회사,,분석,19791600,88.038,87.338,-0.46353 (99.53647),,0000/00/00 00:00:00,(39) 순위
40,,주식회사 케이비정보통신,,분석,19793080,88.045,87.344,-0.45608 (99.54392),,0000/00/00 00:00:00,(40) 순위
41,,(주)청남통신,,분석,19794640,88.052,87.351,-0.44824 (99.55176),,0000/00/00 00:00:00,(41) 순위
42,,지에스네트웍스(주),,분석,19797050,88.063,87.362,-0.43612 (99.56388),,0000/00/00 00:00:00,(42) 순위
43,,(주)안나시스템,,분석,19797770,88.066,87.365,-0.43250 (99.5675),,0000/00/00 00:00:00,(43) 순위
44,,협진통신(주),,분석,19799100,88.072,87.371,-0.42581 (99.57419),,0000/00/00 00:00:00,(44) 순위
45,,주식회사에이원아이티,,분석,19800731,88.079,87.378,-0.41760 (99.5824),,0000/00/00 00:00:00,(45) 순위
46,,(주)모빌텍,,분석,19801168,88.081,87.38,-0.41541 (99.58459),,0000/00/00 00:00:00,(46) 순위
47,,(주)아이씨엔캐스트,,분석,19802080,88.085,87.384,-0.41082 (99.58918),,0000/00/00 00:00:00,(47) 순위
48,,(주)선광전설,,분석,19802300,88.086,87.385,-0.40971 (99.59029),,0000/00/00 00:00:00,(48) 순위
49,,태일정보시스템(주),,분석,19802640,88.088,87.387,-0.40800 (99.592),,0000/00/00 00:00:00,(49) 순위
50,,온세텔레콤(주),,분석,19803336,88.091,87.39,-0.40450 (99.5955),,0000/00/00 00:00:00,(50) 순위
