순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,예가대비 투찰률(%),기초대비 투찰률(%),기초대비 사정률(%),추첨번호,투찰일시,비고
1,2108122973,인터컴넷(주),양지호,분석,95034900,87.746,87.522,-0.25340 (99.7466),,2019/10/07 14:05:00,
2,2068184591,신명네트워크(주),임은수,분석,95035280,87.746,87.523,-0.25300 (99.747),,2019/10/02 17:39:00,
3,1198629800,주식회사 메카넷,천수연,분석,95035280,87.746,87.523,-0.25300 (99.747),,2019/10/04 11:55:00,
4,1078688354,(주)혜인에스앤에스,유순희,분석,95035900,87.746,87.523,-0.25235 (99.74765),,2019/10/04 09:43:00,
5,2148781807,(주)창리정보통신,정종호,분석,95036800,87.747,87.524,-0.25141 (99.74859),,2019/10/08 10:10:00,
6,1058169109,대조전설 주식회사,장철호,분석,95039300,87.75,87.526,-0.24879 (99.75121),,2019/10/08 10:28:00,
7,2198128106,우선이엔씨(주),김광수,분석,95040500,87.751,87.527,-0.24753 (99.75247),,2019/10/07 07:51:00,
8,1078129777,(주)범우정보기술,이용철,분석,95040521,87.751,87.527,-0.24750 (99.7525),,2019/10/03 11:52:00,
9,1028135124,현대에이치디에스(주),최철식,분석,95041568,87.752,87.528,-0.24640 (99.7536),,2019/10/08 11:43:00,
10,2148770450,주식회사 아리시스,이대섭,분석,95044045,87.754,87.531,-0.24381 (99.75619),,2019/10/08 10:36:00,
11,2018190031,주식회사 태건씨앤씨,김복수,분석,95044620,87.754,87.531,-0.24320 (99.7568),,2019/10/04 13:14:00,
12,2208727337,주식회사주니파워네트웍스,노병준,분석,95045100,87.755,87.532,-0.24270 (99.7573),,2019/10/08 09:53:00,
13,1198649126,태광에스엠주식회사,전현용,분석,95049381,87.759,87.535,-0.23820 (99.7618),,2019/10/08 08:11:00,
14,1088193869,(주)동명텔레콤,김경은,분석,95051400,87.761,87.537,-0.23609 (99.76391),,2019/10/04 21:07:00,
15,1108176581,주식회사 비에스텍,윤희주,분석,95052993,87.762,87.539,-0.23441 (99.76559),,2019/10/10 09:08:00,
16,2148705513,주식회사 케이이에스 전기공사,강성진,분석,95053190,87.762,87.539,-0.23421 (99.76579),,2019/10/04 11:26:00,
