순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,가격점수,예가대비 투찰률(%)  A,기초대비 투찰률(%),순공사대비 사정률(%),추첨번호,투찰일시,비고
1,3078139254,주식회사 다승텔레콤  [최종낙찰],오세좌,분석,57127885,85.0,89.176,89.234,-0.7195 (99.2805),10 14,2022/10/07 07:44:35,
2,2558600773,주식회사 대건전력,박미영,분석,57128518,85.0,89.177,89.235,-0.7184 (99.2816),2 7,2022/10/06 17:05:03,
3,3128196859,주식회사 가델,김정민,분석,57135100,85.0,89.188,89.246,-0.7070 (99.293),2 12,2022/10/05 16:28:32,
4,1058173369,(주)신한개발,이종순,분석,57139393,85.0,89.196,89.252,-0.6995 (99.3005),14 3,2022/10/05 15:24:36,
5,1108190808,노드정보기술(주),정상권,분석,57140315,85.0,89.197,89.254,-0.6979 (99.3021),3 8,2022/10/07 00:10:26,
6,1198123174,주식회사 도래정보시스템,이은숙,분석,57144260,85.0,89.204,89.26,-0.6911 (99.3089),15 10,2022/10/06 09:25:24,
7,1101185132,메이폴정보통신,박용진,분석,57145320,85.0,89.205,89.262,-0.6892 (99.3108),3 7,2022/10/06 22:40:04,
8,1068656301,주식회사 티제이원,최정국,분석,57147603,85.0,89.209,89.265,-0.6853 (99.3147),4 13,2022/10/05 10:23:31,
9,5768800728,주식회사 한빛데이타,이광수,분석,57148480,85.0,89.211,89.267,-0.6838 (99.3162),12 8,2022/10/06 15:08:12,
10,5878600398,주식회사 엑사엔시스,김준용,분석,57153895,85.0,89.22,89.275,-0.6743 (99.3257),4 1,2022/10/06 07:35:42,
11,3808700630,주식회사 퍼니포커스,김환영,분석,57154200,85.0,89.22,89.276,-0.6738 (99.3262),8 3,2022/10/06 18:10:14,
12,4018600546,주식회사 케이투시스템즈,강병준,분석,57154240,85.0,89.221,89.276,-0.6737 (99.3263),1 2,2022/10/07 09:20:26,
13,2128606988,원강정보통신 주식회사,우강원,분석,57156829,85.0,89.225,89.28,-0.6692 (99.3308),3 13,2022/10/06 17:34:41,
14,2298121250,(주)동곡기정,이주언,분석,57157434,85.0,89.226,89.281,-0.6682 (99.3318),3 5,2022/10/05 17:13:55,
15,2158682840,차일정보통신(주),오상국,분석,57157710,85.0,89.226,89.281,-0.6677 (99.3323),11 14,2022/10/05 12:53:32,
16,1288196628,코마정보통신(주),이경수,분석,57159980,85.0,89.23,89.285,-0.6638 (99.3362),2 7,2022/10/05 16:44:25,
17,2148645634,한국전자금융주식회사,구자성,분석,57161260,85.0,89.232,89.287,-0.6615 (99.3385),3 1,2022/10/05 13:01:17,
18,1238135136,(주)청남통신,최재언,분석,57163370,85.0,89.236,89.29,-0.6579 (99.3421),13 4,2022/10/05 10:33:28,
19,2118193336,(주)국제비엠에스,윤도선,분석,57163669,85.0,89.236,89.29,-0.6574 (99.3426),14 11,2022/10/06 09:35:46,
20,1068178635,(주)지아이테크놀러지,홍영우,분석,57173919,85.0,89.254,89.306,-0.6395 (99.3605),3 12,2022/10/05 13:42:43,
21,1138670451,주식회사 코스모티어,김명동,분석,57179566,85.0,89.263,89.315,-0.6297 (99.3703),13 4,2022/10/05 15:33:24,
22,2118850165,해음전기(주),김년봉,분석,57179640,85.0,89.263,89.315,-0.6296 (99.3704),3 14,2022/10/07 08:52:23,
23,1018151140,(주)사운드솔루션,이홍,분석,57180790,85.0,89.265,89.317,-0.6276 (99.3724),12 9,2022/10/05 17:03:22,
24,2058125376,주식회사 명성라이픽스,황석고,분석,57181420,85.0,89.266,89.318,-0.6265 (99.3735),7 14,2022/10/06 08:14:03,
25,2118168569,삼익정보통신(주),김진섭,분석,57182263,85.0,89.268,89.319,-0.6250 (99.375),12 6,2022/10/07 08:18:19,
26,2208798467,주식회사 태산이에이지,최홍석,분석,57186290,85.0,89.274,89.326,-0.6180 (99.382),9 3,2022/10/05 11:04:36,
27,1138606420,(주)엠케이시큐리티,박상철,분석,57194634,85.0,89.289,89.339,-0.6035 (99.3965),12 6,2022/10/07 09:03:11,
