순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,가격점수,예가대비 투찰률(%)  A,기초대비 투찰률(%),기초대비 사정률(%)  A,추첨번호,투찰일시,비고
1,1138663208,주식회사 유영정보통신  [최종낙찰],박경순,분석,376481990,75.0,87.745,88.313,-0.18261 (99.81739),2 11,2023/05/22 08:53:04,
2,2138180142,서울아이디시스템(주),김동수,분석,376491350,75.0,87.747,88.315,-0.18010 (99.8199),8 12,2023/05/18 11:11:39,
3,2158602337,지엔네텔(주),고시영,분석,376491728,75.0,87.747,88.316,-0.18000 (99.82),6 12,2023/05/23 05:53:40,
4,2148180640,(주)남인정보통신,김남호,분석,376559802,75.2,87.764,88.331,-0.16180 (99.8382),4 15,2023/05/19 10:33:24,
5,1358145603,한라인포넷(주),장경민,분석,376560549,75.2,87.764,88.332,-0.16160 (99.8384),11 8,2023/05/22 23:44:59,
6,1138683636,주식회사 온택,허윤훈,분석,376575880,75.4,87.768,88.335,-0.15751 (99.84249),2 6,2023/05/22 09:01:03,
7,1180673427,한마음정보시스템,정인숙,분석,376596476,75.4,87.773,88.34,-0.15200 (99.848),10 1,2023/05/19 09:17:10,
8,1018138303,주식회사 비엘에스,안홍서,분석,376597955,75.4,87.774,88.34,-0.15160 (99.8484),2 7,2023/05/23 09:14:32,
9,1178153920,엠에스원디지털 주식회사,엄종만,분석,376618341,75.6,87.779,88.345,-0.14615 (99.85385),12 10,2023/05/22 17:25:02,
10,1188109785,주식회사 안세기술,이용안,분석,376640500,75.6,87.784,88.35,-0.14023 (99.85977),14 15,2023/05/19 17:55:21,
11,2148625486,(주)유엔네트웍스,최정민,분석,376643590,75.8,87.785,88.351,-0.13940 (99.8606),12 9,2023/05/19 10:35:46,
12,1208742606,주식회사 테눅스,전석순,분석,376664910,75.8,87.79,88.356,-0.13371 (99.86629),14 13,2023/05/18 10:19:30,
13,2158192566,(주)열림정보기술,고동민,분석,376689749,76.0,87.797,88.362,-0.12706 (99.87294),15 10,2023/05/19 09:39:14,
14,2148734283,(주)뉴넷정보기술,김종원,분석,376704187,76.0,87.8,88.365,-0.12320 (99.8768),8 7,2023/05/18 15:36:53,
15,1068198683,주식회사 포인트정보,김종필,분석,376704936,76.0,87.8,88.366,-0.12300 (99.877),8 3,2023/05/22 10:56:27,
16,1208802896,주식회사 라임에스엔씨,김종훈,분석,376739720,76.2,87.809,88.374,-0.11371 (99.88629),10 15,2023/05/22 16:38:43,
17,1198181214,엔텍월드주식회사,안병립,분석,376743160,76.2,87.81,88.375,-0.11279 (99.88721),2 1,2023/05/23 09:42:34,
18,1098603050,(주)이루기술,박지현,분석,376751000,76.2,87.812,88.376,-0.11069 (99.88931),6 5,2023/05/22 09:40:50,
19,1108190808,노드정보기술(주),정상권,분석,376764784,76.4,87.815,88.38,-0.10701 (99.89299),15 6,2023/05/23 00:07:30,
20,1148678591,주식회사엠아이솔텍,최윤정,분석,376808700,76.6,87.826,88.39,-0.09526 (99.90474),10 7,2023/05/18 10:34:15,
21,1058688514,(주)엠티에스정보기술,신현준,분석,376808780,76.6,87.826,88.39,-0.09524 (99.90476),8 9,2023/05/22 15:34:12,
22,1058606434,(주)케이디정보기술,이종오,분석,376812576,76.6,87.827,88.391,-0.09423 (99.90577),4 3,2023/05/23 08:16:49,
23,1078746443,(주)라인테크놀로지,유현식,분석,376825755,76.6,87.831,88.394,-0.09071 (99.90929),3 7,2023/05/22 16:53:34,
24,2198116973,건아정보기술 주식회사,심광호,분석,376825851,76.6,87.831,88.394,-0.09068 (99.90932),5 4,2023/05/19 10:05:50,
25,2098211809,사단법인 해오름장애인협회,노영주,분석,376827668,76.6,87.831,88.394,-0.09019 (99.90981),1 5,2023/05/22 15:58:43,
26,1148664613,(주)상우정보기술,하문한,분석,376841470,76.6,87.834,88.398,-0.08650 (99.9135),8 2,2023/05/18 23:29:46,
27,1138645971,주식회사 포딕스시스템,정재호,분석,376856060,76.8,87.838,88.401,-0.08260 (99.9174),8 5,2023/05/23 09:19:41,
28,1058199938,삼호전자통신(주),이경희,분석,376949670,77.2,87.862,88.423,-0.05758 (99.94242),8 15,2023/05/22 10:15:03,
