순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,예가대비 투찰률(%),기초대비 투찰률(%),기초대비 사정률(%),추첨번호,투찰일시,비고
1,2108165652,키코아이비에스주식회사  [최종낙찰],공재근,분석,22893174,87.748,88.568,0.93846 (100.93846),9 15,2020/12/17 18:21:15,
2,8908701311,(주)에이디넷,주종명,분석,22894360,87.752,88.573,0.94369 (100.94369),11 13,2020/12/18 15:11:02,
3,1338113707,(주)대보통신,염영숙,분석,22896300,87.76,88.58,0.95224 (100.95224),14 12,2020/12/18 15:34:58,
4,2128196942,동진이앤씨(주),민진식,분석,22896500,87.761,88.581,0.95312 (100.95312),11 1,2020/12/21 09:34:23,
5,1208164006,(주)청음미디어,조남수,분석,22900000,87.774,88.594,0.96855 (100.96855),4 8,2020/12/17 10:12:44,
6,2021680862,삼기정보통신,김수봉,분석,22907100,87.801,88.622,0.99986 (100.99986),9 6,2020/12/17 23:14:51,
7,1058688514,(주)엠티에스정보기술,신현준,분석,22908151,87.805,88.626,1.00449 (101.00449),6 13,2020/12/17 11:10:07,
8,1138156089,코아아이앤씨(주),김현모,분석,22910220,87.813,88.634,1.01362 (101.01362),4 11,2020/12/19 18:10:48,
9,1098185343,주식회사 오티에스씨,이승환,분석,22910329,87.814,88.634,1.01410 (101.0141),2 11,2020/12/18 16:03:56,
10,1198153402,고현건설(주),이화선,분석,22910880,87.816,88.636,1.01653 (101.01653),10 15,2020/12/18 16:11:55,
11,2120549052,태성통신,최재석,분석,22911430,87.818,88.639,1.01895 (101.01895),15 11,2020/12/21 06:24:00,
12,2208882337,태암네트워크 주식회사,김만기,분석,22912075,87.82,88.641,1.02179 (101.02179),6 8,2020/12/18 16:59:09,
13,5338700141,주식회사 인프라엔이,정우진,분석,22912189,87.821,88.642,1.02230 (101.0223),10 1,2020/12/19 09:41:45,
14,1138148366,주식회사 레이어스,조인선,분석,22912688,87.823,88.643,1.02450 (101.0245),14 12,2020/12/21 09:03:52,
15,1200582335,델타전자통신,이성남,분석,22913990,87.828,88.648,1.03024 (101.03024),7 12,2020/12/21 08:29:56,
16,1198192370,(주)신관산업,이철재,분석,22914160,87.828,88.649,1.03099 (101.03099),9 13,2020/12/17 10:21:18,
17,1408138536,주)파인솔라,이태동,분석,22914502,87.83,88.65,1.03250 (101.0325),9 10,2020/12/17 16:02:04,
18,1078681986,세연아이넷(주),정은호,분석,22914548,87.83,88.651,1.03270 (101.0327),14 12,2020/12/21 09:18:47,
19,1068133832,(주)동양이엔씨,최두현,분석,22915200,87.832,88.653,1.03557 (101.03557),14 1,2020/12/18 09:00:15,
20,1288141176,주식회사 와이씨스템,장영찬,분석,22915887,87.835,88.656,1.03860 (101.0386),5 6,2020/12/18 11:36:16,
21,2108131394,(주)안나시스템,문병조,분석,22916611,87.838,88.659,1.04179 (101.04179),10 11,2020/12/20 12:42:28,
22,2078136563,동하이앤에프(주),전영길,분석,22916770,87.838,88.659,1.04249 (101.04249),4 3,2020/12/18 10:13:14,
23,3148189882,주식회사 제이케이씨엔에스,이동호,분석,22917133,87.84,88.661,1.04410 (101.0441),10 5,2020/12/18 13:14:41,
24,1018183448,(주)에이치애비뉴앤컴퍼니,정현이,분석,22919265,87.848,88.669,1.05350 (101.0535),11 14,2020/12/18 10:20:09,
25,1078197386,(주)아리네트웍스,성동식,분석,22919945,87.851,88.672,1.05649 (101.05649),7 10,2020/12/21 08:45:19,
26,2158747516,(주) 제이에스통신정보,한택수,분석,22925026,87.87,88.691,1.07890 (101.0789),2 14,2020/12/18 08:44:02,
27,1058192352,한아름정보통신(주),손경선,분석,22925890,87.873,88.695,1.08271 (101.08271),8 7,2020/12/18 15:16:03,
28,1188119624,탑정보통신(주),오영권,분석,22926250,87.875,88.696,1.08429 (101.08429),11 10,2020/12/18 20:08:33,
29,1138694303,향원전자통신 주식회사,이진영,분석,22926660,87.876,88.698,1.08610 (101.0861),7 11,2020/12/17 20:51:06,
30,2108149521,주식회사 구일일무인경비시스템,박종철,분석,22927300,87.879,88.7,1.08892 (101.08892),3 14,2020/12/20 23:07:19,
31,1138139080,(주)성강통신기술사사무소,안치영,분석,22927320,87.879,88.7,1.08901 (101.08901),7 13,2020/12/21 09:18:08,
32,2178125840,(주)에이디엠,정채옥,분석,22928360,87.883,88.704,1.09360 (101.0936),5 15,2020/12/17 16:41:58,
33,2148864580,(주)리우솔루션,우삼렬,분석,22932918,87.9,88.722,1.11369 (101.11369),1 12,2020/12/17 13:48:23,
34,2148710582,모던웨이브(주),원회광,분석,22933540,87.903,88.724,1.11644 (101.11644),3 12,2020/12/17 13:28:13,
35,2148805112,주식회사 지큐시스템즈,구자옥,분석,22935096,87.909,88.73,1.12330 (101.1233),1 9,2020/12/18 06:11:54,
36,1068619761,(주) 한걸음정보통신,정진원,분석,22937250,87.917,88.738,1.13279 (101.13279),9 1,2020/12/18 09:23:41,
37,2148839868,(주)에이시스,홍세의,분석,22939382,87.925,88.747,1.14219 (101.14219),10 11,2020/12/18 07:41:32,
38,1098610416,(주)네시비스,이은섭,분석,22939677,87.926,88.748,1.14349 (101.14349),11 3,2020/12/18 10:54:11,
39,1128118909,(주)한일종합산업,박준용,분석,22939720,87.926,88.748,1.14368 (101.14368),11 1,2020/12/18 11:09:56,
40,2048197877,(주)그린주의,김현미,분석,22939791,87.927,88.748,1.14400 (101.144),6 7,2020/12/18 17:59:33,
41,1128139637,(주)씨엘에이에스,윤호중,분석,22941174,87.932,88.754,1.15009 (101.15009),3 7,2020/12/18 08:49:10,
42,2068629138,(주)하나윈정보기술,도수현,분석,22942014,87.935,88.757,1.15380 (101.1538),12 4,2020/12/21 09:18:11,
43,1062873386,이행정보통신공사,오흥식,분석,22944170,87.943,88.765,1.16330 (101.1633),13 9,2020/12/18 05:13:34,
44,1138158414,(주)신우종합정보,김찬종,분석,22944210,87.944,88.765,1.16348 (101.16348),14 2,2020/12/19 20:27:41,
45,2158714581,씨엠티정보통신(주),김국동,분석,22946222,87.951,88.773,1.17235 (101.17235),4 7,2020/12/21 08:56:22,
46,2058125376,주식회사 명성라이픽스,황석고,분석,22946300,87.952,88.773,1.17270 (101.1727),3 12,2020/12/18 15:06:31,
47,1078649711,주식회사 백선통신,황선호,분석,22948456,87.96,88.782,1.18220 (101.1822),14 12,2020/12/17 16:30:29,
48,1088607693,(주)가온데이터,이기원,분석,22952650,87.976,88.798,1.20069 (101.20069),13 15,2020/12/17 12:16:03,
