순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,예가대비 투찰률(%),기초대비 투찰률(%),기초대비 사정률(%),추첨번호,투찰일시,비고
1,1098160416,(주)용진정보통신,도용석,분석,151604837,87.748,88.538,0.90428 (100.90428),,2020/09/03 14:34:48,
2,1108164858,(주)에스에이정보기술,김성빈,분석,151605611,87.749,88.538,0.90479 (100.90479),,2020/09/08 10:18:22,
3,1198606485,주식회사 에이치엠솔루션,이상진,분석,151612300,87.753,88.542,0.90925 (100.90925),,2020/09/02 10:05:48,
4,1138618789,이노뎁(주),이성진,분석,151619584,87.757,88.547,0.91409 (100.91409),,2020/09/04 14:29:41,
5,1048800071,주식회사 대광사업단,박선희,분석,151652338,87.776,88.566,0.93590 (100.9359),,2020/09/09 09:43:12,
6,1078763383,주식회사 아이티블럭,배경원,분석,151664314,87.783,88.573,0.94387 (100.94387),,2020/09/08 12:47:53,
7,2038143228,백영전자 주식회사(白榮電子 株式會社),임대순,분석,151668660,87.785,88.575,0.94676 (100.94676),,2020/09/05 20:41:31,
8,2198116973,건아정보기술 주식회사,심광호,분석,151687646,87.796,88.586,0.95940 (100.9594),,2020/09/08 09:34:40,
9,7188100420,주식회사 오투정보통신,양성윤,분석,151700400,87.804,88.594,0.96788 (100.96788),,2020/09/05 16:14:49,
10,1058814068,주식회사 한강통신건설,최문봉,분석,151709700,87.809,88.599,0.97407 (100.97407),,2020/09/07 17:19:58,
11,2118771649,주식회사 월드멀티넷,박영희,분석,151718446,87.814,88.604,0.97989 (100.97989),,2020/09/07 23:04:29,
12,2098133747,(주)한국에스알테크,이재호,분석,151760000,87.838,88.629,1.00755 (101.00755),,2020/09/08 09:39:16,
13,1068143494,합자회사 화인에스앤컴퍼니,장주용,분석,151796870,87.859,88.65,1.03209 (101.03209),,2020/09/08 09:18:55,
14,1048159651,(주)성우음향정보통신,송민자,분석,151827825,87.877,88.668,1.05269 (101.05269),,2020/09/09 07:51:27,
15,1098185343,주식회사 오티에스씨,이승환,분석,151844953,87.887,88.678,1.06409 (101.06409),,2020/09/09 09:13:18,
16,1198655462,지티에스솔루션즈 주식회사,김민수,분석,151854400,87.893,88.684,1.07038 (101.07038),,2020/09/07 10:55:52,
17,2308100158,국제컨트로닉스 주식회사,김동배,분석,151960400,87.954,88.746,1.14093 (101.14093),,2020/09/09 08:12:29,
18,1148633857,에스엠이엔지(주),이관휴,분석,151992193,87.973,88.764,1.16209 (101.16209),,2020/09/08 13:43:39,
19,1288618438,주식회사 엔지스웨이,최영재,분석,152043729,88.002,88.794,1.19639 (101.19639),,2020/09/08 13:39:51,
20,1218610885,주식회사 씨에스포유앤이,김승섭,분석,152057000,88.01,88.802,1.20523 (101.20523),,2020/09/04 11:50:54,
21,1078711298,청우기전주식회사,오병호,분석,152081964,88.025,88.817,1.22184 (101.22184),,2020/09/07 17:02:36,
22,2058126341,종합전기 주식회사,김유훈,분석,152122008,88.048,88.84,1.24850 (101.2485),,2020/09/09 09:00:08,
23,2117299696,성원전자통신,성기신,분석,152178000,88.08,88.873,1.28576 (101.28576),,2020/09/07 20:15:41,
24,1078104441,진화전기(주),문충모,분석,152200888,88.093,88.886,1.30100 (101.301),,2020/09/09 09:13:40,
25,1068167098,코스믹전기통신 주식회사,이규선,분석,152216620,88.102,88.895,1.31147 (101.31147),,2020/09/07 09:59:04,
26,2038158134,(주)두전네트,손광현,분석,152293965,88.147,88.94,1.36295 (101.36295),,2020/09/07 12:04:56,
27,1048140865,다이아몬드전자(주),이건,분석,152361020,88.186,88.98,1.40758 (101.40758),,2020/09/07 15:58:51,
28,1078677070,씨지에스아이티(주),최규식,분석,152366036,88.189,88.983,1.41091 (101.41091),,2020/09/08 21:06:29,
