순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,예가대비 투찰률(%),기초대비 투찰률(%),기초대비 사정률(%),추첨번호,투찰일시,비고
1,1278142022,(주)광명텔레콤,윤경심,분석,131383990,87.745,88.142,0.45277 (100.45277),,2023/04/10 09:44:45,1순위
2,1308619162,(주)인앤아웃이앤지,박현숙,분석,131391688,87.751,88.147,0.45865 (100.45865),,2023/04/10 09:52:19,2순위
3,1238628019,에이치디에스주식회사,박종흥,분석,131400000,87.756,88.153,0.46501 (100.46501),,2023/04/09 12:05:36,3순위
4,1308170126,주식회사 피씨엔,한지효,분석,131403837,87.759,88.155,0.46794 (100.46794),,2023/04/09 00:36:32,4순위
5,1048159651,(주)성우음향정보통신,송민자,분석,131404432,87.759,88.155,0.46840 (100.4684),,2023/04/11 07:59:36,5순위
6,2208191439,주식회사 디투에스,이상현,분석,131420800,87.77,88.166,0.48091 (100.48091),,2023/04/10 09:04:22,6순위
7,2118620935,주식회사 한양티이씨,조형국,분석,131448247,87.788,88.185,0.50190 (100.5019),,2023/04/11 08:39:09,7순위
8,1068633138,포에스미디어(주),원태우,분석,131455102,87.793,88.189,0.50714 (100.50714),,2023/04/10 16:35:16,8순위
9,1138131356,중원기전(주),김창중,분석,131477930,87.808,88.205,0.52459 (100.52459),,2023/04/10 08:35:31,9순위
10,1088154468,(주)이젠정보통신,이동필,분석,131487610,87.815,88.211,0.53199 (100.53199),,2023/04/10 12:42:11,10순위
11,1298606070,(주)아이필넷,김명선,분석,131489700,87.816,88.213,0.53359 (100.53359),,2023/04/07 10:34:19,11순위
12,1098651964,셀코정보기술 주식회사,권영용,분석,131490910,87.817,88.214,0.53451 (100.53451),,2023/04/11 07:43:26,12순위
13,1138640850,주식회사 우솔네트웍스,유상열,분석,131504030,87.826,88.222,0.54455 (100.54455),,2023/04/07 10:09:13,13순위
14,1298663431,주식회사 우리이엔시,이연진,분석,131506900,87.828,88.224,0.54674 (100.54674),,2023/04/06 14:37:51,14순위
15,1348105200,주식회사 하이게인안테나,이승호,분석,131511942,87.831,88.228,0.55060 (100.5506),,2023/04/06 11:00:13,15순위
16,3938701431,주식회사 더블유에스네트워크,유하나,분석,131512465,87.831,88.228,0.55100 (100.551),,2023/04/10 11:03:50,16순위
17,1108190166,(주)페타네트워크,강인희,분석,131512465,87.831,88.228,0.55100 (100.551),,2023/04/10 16:45:30,16순위
18,1708101326,이에스텍이엔지 주식회사,최정환,분석,131531400,87.844,88.241,0.56547 (100.56547),,2023/04/06 10:16:48,18순위
19,1248737987,주식회사 넷,김주형,분석,131535484,87.847,88.243,0.56859 (100.56859),,2023/04/10 07:08:54,19순위
