순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,가격점수,예가대비 투찰률(%),기초대비 투찰률(%),기초대비 사정률(%),추첨번호,투찰일시,비고
1,1198602494,(주) 네오인아이텍  [최종낙찰],김희숙,분석,43819790,85.4,87.767,87.379,-0.41691 (99.58309),14 5,2015/07/15 18:03:03,
2,2048174554,주식회사 창흥텔레콤,진경미,분석,43833300,85.8,87.794,87.406,-0.38620 (99.6138),8 9,2015/07/17 08:03:32,
3,1178188899,주식회사 시큐렉스,최영희,분석,43858778,87.0,87.845,87.456,-0.32830 (99.6717),12 3,2015/07/17 08:06:16,
4,1178122655,셀렉트정보기술(주),임윤정,분석,43860407,87.0,87.848,87.46,-0.32460 (99.6754),4 1,2015/07/17 09:27:52,
5,1138653369,(주)제이앤비이노베이션,오명숙,분석,43868996,87.4,87.865,87.477,-0.30508 (99.69492),12 11,2015/07/15 18:46:52,
6,1078162397,신용통신 주식회사,변옥희,분석,43875267,87.6,87.878,87.489,-0.29083 (99.70917),6 14,2015/07/16 15:50:43,
7,1180673427,한마음정보시스템,정인숙,분석,43881065,87.8,87.89,87.501,-0.27766 (99.72234),15 4,2015/07/14 10:25:36,
8,1098154781,(주)공항엔지니어링,이은순,분석,43944190,89.6,88.016,87.627,-0.13420 (99.8658),14 1,2015/07/16 16:21:50,
9,1138157550,뉴코리아전자통신 주식회사,조영순,분석,43947136,89.6,88.022,87.633,-0.12750 (99.8725),5 3,2015/07/17 07:53:36,
10,1088607510,애드온스마트 주식회사,신승자,분석,43949720,89.4,88.027,87.638,-0.12163 (99.87837),4 6,2015/07/17 07:39:51,
11,1118124994,오리엔트주식회사,이경미,분석,43966000,88.8,88.06,87.67,-0.08464 (99.91536),1 12,2015/07/16 14:48:05,
12,2048610496,주식회사김스애드,김진희,분석,43977670,88.4,88.083,87.694,-0.05811 (99.94189),5 10,2015/07/17 09:39:22,
13,2158784530,주식회사 대운텔레시스,장안성,분석,43981106,88.2,88.09,87.7,-0.05031 (99.94969),15 7,2015/07/16 15:20:20,
14,1188117437,탑인더스트리(주),이정임,분석,43982911,88.2,88.093,87.704,-0.04620 (99.9538),2 11,2015/07/16 08:33:12,
15,2158199031,한소리이앤씨주식회사,전화진,분석,43989630,87.8,88.107,87.717,-0.03093 (99.96907),3 9,2015/07/14 15:34:00,
16,6218164983,카이트컴주식회사,김세연,분석,44027220,86.4,88.182,87.792,0.05449 (100.05449),7 5,2015/07/16 10:05:24,
17,1208632760,(주)지티앤,은지훈,분석,44036277,86.0,88.2,87.81,0.07507 (100.07507),14 12,2015/07/15 13:45:33,
18,2018603701,소성정보기술 (주),김금남,분석,44043359,85.6,88.215,87.824,0.09117 (100.09117),12 8,2015/07/17 08:57:17,
19,2118606665,(주)화인전설,이순희,분석,44048506,85.4,88.225,87.835,0.10286 (100.10286),10 3,2015/07/15 21:39:18,
20,1108609224,주식회사 두루스코,김옥연,분석,44054160,85.2,88.236,87.846,0.11571 (100.11571),7 8,2015/07/15 23:10:41,
21,1048178207,주식회사 씨에스티씨,김현숙,분석,44056835,85.2,88.242,87.851,0.12179 (100.12179),13 12,2015/07/16 22:37:07,
22,1198635243,(주)다룸정보기술,이혜경,분석,44058550,85.0,88.245,87.855,0.12569 (100.12569),14 4,2015/07/16 17:02:10,
23,1198123174,주식회사 도래정보시스템,이은숙,분석,44066690,85.0,88.261,87.871,0.14419 (100.14419),14 11,2015/07/16 09:24:35,
24,1178169252,엠에스온(주),이경미,분석,44098508,85.0,88.325,87.934,0.21650 (100.2165),4 5,2015/07/17 09:13:34,
25,1138604679,(주) 투데이게이트,이민자,분석,44103880,85.0,88.336,87.945,0.22871 (100.22871),8 4,2015/07/15 19:37:13,
26,1048159651,(주)성우음향정보통신,송민자,분석,44113687,85.0,88.355,87.965,0.25099 (100.25099),5 9,2015/07/15 16:55:58,
27,2298117246,투빅스(주),김정란,분석,44120000,85.0,88.368,87.977,0.26534 (100.26534),4 12,2015/07/14 16:40:46,
28,1078651838,(주)캐스트 원,윤정순,분석,44133000,85.0,88.394,88.003,0.29488 (100.29488),2 4,2015/07/16 10:08:09,
29,1338113707,(주)대보통신,염영숙,분석,44165391,85.0,88.459,88.068,0.36849 (100.36849),13 11,2015/07/14 17:26:21,
30,2298130972,(주)태주이엔지,원미숙,분석,44180706,85.0,88.49,88.098,0.40330 (100.4033),15 10,2015/07/15 15:54:00,
31,1128143733,공간미디어(주),김명숙,분석,44189730,85.0,88.508,88.116,0.42380 (100.4238),8 5,2015/07/17 08:26:27,
32,1058730625,주식회사 신한네오텍,강미순,분석,44210510,85.0,88.549,88.158,0.47103 (100.47103),13 8,2015/07/14 08:54:01,
33,1088167041,(주)가디엘,최혜심,분석,44241518,85.0,88.611,88.22,0.54150 (100.5415),8 14,2015/07/17 09:42:10,
34,1098155422,창공정보통신(주),김배명,분석,44243760,85.0,88.616,88.224,0.54659 (100.54659),5 2,2015/07/16 10:17:01,
35,1018605239,주식회사 뉴비젼이엔지,전대순,분석,44245961,85.0,88.62,88.228,0.55159 (100.55159),3 12,2015/07/17 09:22:19,
36,1088159691,(주)다우텔레콤,이영순,분석,44250582,85.0,88.63,88.238,0.56209 (100.56209),7 12,2015/07/16 09:30:52,
37,1178124861,케이이피엔지니어링(주),박성진,분석,44266340,85.0,88.661,88.269,0.59791 (100.59791),10 8,2015/07/16 16:03:15,
38,1138185890,(주)두손씨에스티,최수경,분석,44347400,85.0,88.824,88.431,0.78212 (100.78212),13 3,2015/07/15 10:05:16,
39,2048626080,주식회사 엘제이이엔지,임성희,분석,44353450,85.0,88.836,88.443,0.79587 (100.79587),10 15,2015/07/14 15:57:56,
40,1078606385,대선아이넷(주),신일자,분석,44360986,85.0,88.851,88.458,0.81299 (100.81299),7 8,2015/07/16 17:01:05,
41,2208176739,(주)케이써비스,이난희,분석,44380656,85.0,88.89,88.497,0.85770 (100.8577),3 8,2015/07/16 23:31:25,
42,2108157604,주식회사 시울이엔지,김미숙,분석,44415474,85.0,88.96,88.567,0.93682 (100.93682),5 9,2015/07/16 14:50:09,
43,2128142640,팍스코이앤아이(주),박경인,분석,44483000,85.0,89.095,88.701,1.09028 (101.09028),4 3,2015/07/16 18:30:18,
44,1198658528,진솔이앤에스 주식회사,김정현,분석,44520270,85.0,89.17,88.775,1.17498 (101.17498),5 9,2015/07/17 09:22:31,
45,2068167587,주식회사 보다텍,임민혜,분석,44525000,85.0,89.179,88.785,1.18573 (101.18573),4 3,2015/07/16 10:03:55,
46,1098160833,(주)포트론,곽정례,분석,44667689,85.0,89.465,89.069,1.51000 (101.51),12 15,2015/07/17 09:42:58,
-1,1058746506,(주)파워일렉,이정림,분석,43730110,81.8,87.587,87.2,-0.62071 (99.37929),9 5,2015/07/16 09:06:39,낙찰하한선 미달
-2,2208680918,(주)엠디엠알,이재원,분석,43714887,81.2,87.557,87.17,-0.65530 (99.3447),7 2,2015/07/14 23:49:31,낙찰하한선 미달
-3,1408169475,주식회사 제이앤제이파워스,박재옥,분석,43711940,81.0,87.551,87.164,-0.66200 (99.338),2 4,2015/07/15 17:34:02,낙찰하한선 미달
