순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,예가대비 투찰률(%),기초대비 투찰률(%),기초대비 사정률(%),추첨번호,투찰일시,비고
1,2208604531.0,주식회사 월드린시스템즈,류준열,분석,105104500,87.747,88.599,0.97365 (100.97365),,0000/00/00 00:00:00,적격대상
2,1198800016.0,주식회사 태영정보통신공사,김석주,분석,105116626,87.758,88.609,0.98530 (100.9853),,0000/00/00 00:00:00,적격대상
3,1078688354.0,(주)혜인에스앤에스,유순희,분석,105127763,87.767,88.618,0.99600 (100.996),,0000/00/00 00:00:00,적격대상
4,2168100638.0,원흥전설(주),이제호,분석,105140690,87.778,88.629,1.00841 (101.00841),,0000/00/00 00:00:00,적격대상
5,2048109261.0,영한산업(주),권태인,분석,105163000,87.796,88.648,1.02985 (101.02985),,0000/00/00 00:00:00,적격대상
6,1138157962.0,(주)하이눈정보통신,박종우,분석,105169440,87.802,88.654,1.03603 (101.03603),,0000/00/00 00:00:00,적격대상
7,2158119769.0,주식회사 남일기업,이범석,분석,105171690,87.803,88.655,1.03820 (101.0382),,0000/00/00 00:00:00,적격대상
8,2148811443.0,(주)우신지엘에스,문경종,분석,105188800,87.818,88.67,1.05463 (101.05463),,0000/00/00 00:00:00,적격대상
9,,대창 이엔씨,송효양,분석,105193653,87.822,88.674,1.05930 (101.0593),,0000/00/00 00:00:00,적격대상
10,1098197140.0,(주)코맥스시큐리티,김종정,분석,105201560,87.828,88.681,1.06689 (101.06689),,0000/00/00 00:00:00,적격대상
11,1018105457.0,株式會社 南海電機,박인태,분석,105210828,87.836,88.688,1.07580 (101.0758),,0000/00/00 00:00:00,적격대상
12,2648122849.0,주식회사한양시큐리티,신동준,분석,105218530,87.843,88.695,1.08320 (101.0832),,0000/00/00 00:00:00,적격대상
13,2108173598.0,동우정보통신(주),권영옥,분석,105229250,87.852,88.704,1.09349 (101.09349),,0000/00/00 00:00:00,적격대상
14,1068674600.0,주식회사세나텍,이미경,분석,105238308,87.859,88.712,1.10220 (101.1022),,0000/00/00 00:00:00,적격대상
15,1198632979.0,성민전기 주식회사,김미영,분석,105246530,87.866,88.719,1.11009 (101.11009),,0000/00/00 00:00:00,적격대상
16,2068614692.0,주식회사 조이 앤 바투,김양동,분석,105258300,87.876,88.728,1.12140 (101.1214),,0000/00/00 00:00:00,적격대상
17,2048129194.0,위성이앤씨(주),김두태,분석,105259646,87.877,88.73,1.12270 (101.1227),,0000/00/00 00:00:00,적격대상
18,1138604612.0,(주)미래피엔엘,박명호,분석,105272650,87.888,88.741,1.13519 (101.13519),,0000/00/00 00:00:00,적격대상
19,1208168171.0,성호아이피오(주),민문기,분석,105277500,87.892,88.745,1.13985 (101.13985),,0000/00/00 00:00:00,적격대상
20,1098143173.0,에이스건설 주식회사,김호영,분석,105287800,87.9,88.753,1.14974 (101.14974),,0000/00/00 00:00:00,적격대상
21,1288135320.0,수호정보통신(주),김성수,분석,105291340,87.903,88.756,1.15314 (101.15314),,0000/00/00 00:00:00,적격대상
22,1058714080.0,(주) 한일이앤에스,박완교,분석,105301282,87.912,88.765,1.16269 (101.16269),,0000/00/00 00:00:00,적격대상
23,1298175039.0,(주)푸른라인,고영도,분석,105323240,87.93,88.783,1.18379 (101.18379),,0000/00/00 00:00:00,적격대상
24,1068168350.0,신동전자주식회사,김정분,분석,105331469,87.937,88.79,1.19170 (101.1917),,0000/00/00 00:00:00,적격대상
25,1128148359.0,(주)펜타콤씨엔씨,최상록,분석,105353328,87.955,88.809,1.21270 (101.2127),,0000/00/00 00:00:00,적격대상
26,2048161869.0,(주)근영이엔씨,이성영,분석,105369983,87.969,88.823,1.22870 (101.2287),,0000/00/00 00:00:00,적격대상
27,,(주)에이피텔,정용명,분석,105383720,87.981,88.834,1.24189 (101.24189),,0000/00/00 00:00:00,적격대상
28,1198635165.0,(주)세화정보통신,김영주,분석,105397775,87.992,88.846,1.25540 (101.2554),,0000/00/00 00:00:00,적격대상
29,,"주식회사 에이치케이 (HK Co., Ltd.)",장해각,분석,105401601,87.995,88.849,1.25907 (101.25907),,0000/00/00 00:00:00,적격대상
30,2178126102.0,(주)오버더케이블,이종구,분석,105426192,88.016,88.87,1.28270 (101.2827),,0000/00/00 00:00:00,적격대상
31,2012563009.0,주식회사 신성전자통신,전용인,분석,105427337,88.017,88.871,1.28380 (101.2838),,0000/00/00 00:00:00,적격대상
32,1198611222.0,(주)제이에이티,이세창,분석,105481464,88.062,88.917,1.33580 (101.3358),,0000/00/00 00:00:00,적격대상
33,2148722924.0,주식회사 다음정보기술,김은선,분석,105530200,88.103,88.958,1.38262 (101.38262),,0000/00/00 00:00:00,적격대상
34,2138634018.0,(주)비트정보통신,송재화,분석,105616366,88.175,89.03,1.46540 (101.4654),,0000/00/00 00:00:00,적격대상
35,1138165384.0,(주)새서울개발,백승철,분석,105641000,88.195,89.051,1.48906 (101.48906),,0000/00/00 00:00:00,적격대상
36,2148734721.0,(주)다모아테크,장용일,분석,105691720,88.238,89.094,1.53779 (101.53779),,0000/00/00 00:00:00,적격대상
37,2158765528.0,삼마전기통신 주식회사,김완수,분석,105697300,88.242,89.099,1.54315 (101.54315),,0000/00/00 00:00:00,적격대상
38,1138148411.0,(주)풍천정보네트웍,김학봉,분석,105740650,88.278,89.135,1.58479 (101.58479),,0000/00/00 00:00:00,적격대상
39,1308613417.0,삼영에이아이씨(주),김정년,분석,105787590,88.318,89.175,1.62989 (101.62989),,0000/00/00 00:00:00,적격대상
40,2150786744.0,영진전기통신공사,정재인,분석,105910545,88.42,89.278,1.74801 (101.74801),,0000/00/00 00:00:00,적격대상
