순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,예가대비 투찰률(%),기초대비 투찰률(%),기초대비 사정률(%),추첨번호,투찰일시,비고
1,1078626760,두인전기통신(주),안병배,분석,63691590,87.764,85.624,-2.41719 (97.58281),,2016/06/07 12:56:18,
2,1108194973,주식회사 엔에스정보통신,임정빈,분석,63694000,87.767,85.627,-2.41350 (97.5865),,2016/06/08 14:27:24,
3,1328127945,부민통신(주),박창욱,분석,63717950,87.8,85.659,-2.37680 (97.6232),,2016/06/02 11:49:07,
4,1208198485,에스디엔정보통신(주),이병철,분석,63725717,87.811,85.669,-2.36490 (97.6351),,2016/06/09 12:35:28,
5,1188117437,탑인더스트리(주),이정임,분석,63726272,87.811,85.67,-2.36405 (97.63595),,2016/06/03 16:05:44,
6,1408169475,주식회사 제이앤제이파워스,박재옥,분석,63730900,87.818,85.676,-2.35696 (97.64304),,2016/06/09 09:35:34,
7,2118726218,주식회사 씨그테크,이윤호,분석,63739510,87.83,85.688,-2.34377 (97.65623),,2016/06/07 11:40:35,
8,2148768177,(주)프라임엔시스템,윤재중,분석,63757438,87.854,85.712,-2.31630 (97.6837),,2016/06/09 09:55:05,
9,1178188899,주식회사 시큐렉스,최영희,분석,63781196,87.887,85.744,-2.27990 (97.7201),,2016/06/08 09:52:22,
10,2068601047,왕건전기 주식회사,한미라,분석,63787399,87.896,85.752,-2.27040 (97.7296),,2016/06/09 08:25:58,
11,1198623368,오즈이앤씨(주),오정환,분석,63806910,87.923,85.779,-2.24051 (97.75949),,2016/06/07 21:59:16,
12,2208165402,서전엔지니어링(주),유경하,분석,63822054,87.943,85.799,-2.21730 (97.7827),,2016/06/08 10:35:34,
13,1068194348,(주)퓨젼아이앤씨,임영출,분석,63844110,87.974,85.829,-2.18351 (97.81649),,2016/06/09 08:42:44,
14,2148180640,(주)남인정보통신,김남호,분석,63854500,87.988,85.843,-2.16759 (97.83241),,2016/06/07 09:00:30,
15,2178127061,주식회사 칸씨앤에스,황성주,분석,63856250,87.991,85.845,-2.16491 (97.83509),,2016/06/09 11:41:16,
16,1191396324,우리통신,윤순옥,분석,63866960,88.005,85.859,-2.14850 (97.8515),,2016/06/08 12:38:32,
17,2118612681,(주)해우정보시스템,김병헌,분석,63868068,88.007,85.861,-2.14681 (97.85319),,2016/06/02 08:54:11,
18,1178142651,주식회사 조은미디어,조태수,분석,63870745,88.011,85.864,-2.14270 (97.8573),,2016/06/08 16:05:25,
19,2158691790,에이브이에스텍(주),박주영,분석,63887323,88.033,85.887,-2.11730 (97.8827),,2016/06/08 15:20:14,
20,2078141917,합자회사 대성전업상사,권기원,분석,63968100,88.145,85.995,-1.99355 (98.00645),,2016/06/02 14:51:37,
21,1178164451,(주)지엠디텔레콤,김창윤,분석,64041554,88.246,86.094,-1.88101 (98.11899),,2016/06/08 12:46:50,
22,1058679451,주식회사 엘티정보통신,한형전,분석,64065052,88.278,86.126,-1.84500 (98.155),,2016/06/08 16:13:13,
23,1078675432,(주)비젼엔텍,김종윤,분석,64085080,88.306,86.153,-1.81432 (98.18568),,2016/06/08 09:48:16,
24,1178108842,풍성건설(주),임명환,분석,64089000,88.311,86.158,-1.80831 (98.19169),,2016/06/09 11:15:48,
25,1108170025,(주)원비즈시스템,박의영,분석,64112387,88.344,86.189,-1.77248 (98.22752),,2016/06/07 11:21:40,
26,1218140540,영현정보통신(주),김두식,분석,64154979,88.402,86.246,-1.70723 (98.29277),,2016/06/08 09:25:59,
27,1068146133,(주)케이씨이,김현태,분석,64172750,88.427,86.27,-1.68000 (98.32),,2016/06/02 13:33:03,
28,2098134940,주식회사윤송이엔씨,정윤계,분석,64179330,88.436,86.279,-1.66992 (98.33008),,2016/06/03 10:51:10,
29,2178112762,캔얼텍 주식회사,김응식,분석,64188429,88.448,86.291,-1.65598 (98.34402),,2016/06/07 11:28:44,
30,2048162849,(주)비마전기,박상래,분석,64192320,88.454,86.297,-1.65001 (98.34999),,2016/06/03 08:22:47,
