순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,예가대비 투찰률(%),기초대비 투찰률(%),기초대비 사정률(%),추첨번호,투찰일시,비고
1,1188120761,(주)동화이엔씨,이재원,분석,73622140,87.75,85.09,-3.02571 (96.97429),,2017/02/03 16:34:00,
2,5138141831,주식회사 레일아이티,윤용춘,분석,73623360,87.752,85.091,-3.02410 (96.9759),,2017/02/06 17:50:00,
3,1108604272,소리콤 주식회사,정재홍,분석,73630120,87.76,85.099,-3.01520 (96.9848),,2017/02/06 10:37:00,
4,2158630809,주식회사 파이널위즈,곽관남,분석,73637785,87.769,85.108,-3.00510 (96.9949),,2017/02/06 09:41:00,
5,5298100062,주식회사 알에프코리아,신현성,분석,73641656,87.773,85.112,-3.00001 (96.99999),,2017/02/06 10:42:00,
6,1248106672,(주)데스코,이상혁,분석,73641800,87.774,85.112,-2.99982 (97.00018),,2017/02/07 11:19:00,
7,1058153698,진우산전(주),정진태,분석,73645528,87.778,85.117,-2.99491 (97.00509),,2017/02/06 13:29:00,
8,1048152245,주식회사 코맥스텔콤,홍욱,분석,73647655,87.781,85.119,-2.99210 (97.0079),,2017/02/06 09:19:00,
9,1208176706,주식회사 에이엔피네트,안순왕,분석,73649860,87.783,85.122,-2.98920 (97.0108),,2017/02/03 15:41:00,
10,2148787136,주식회사 제일운용기술,홍성철,분석,73652513,87.786,85.125,-2.98570 (97.0143),,2017/02/03 17:53:00,
11,1128143733,공간미디어(주),김명숙,분석,73654312,87.789,85.127,-2.98334 (97.01666),,2017/02/07 07:40:00,
12,1018662695,주식회사 메가시스템,김대석,분석,73660110,87.795,85.133,-2.97570 (97.0243),,2017/02/03 17:58:00,
13,1098160416,(주)용진정보통신,도용석,분석,73661395,87.797,85.135,-2.97401 (97.02599),,2017/02/03 11:17:00,
14,2298125412,스크린정보통신(주),조승제,분석,73662390,87.798,85.136,-2.97269 (97.02731),,2017/02/03 14:17:00,
15,2208726454,한국랜트로비젼(주),조병진,분석,73666102,87.803,85.14,-2.96781 (97.03219),,2017/02/03 18:42:00,
16,2068124123,(주)세양텔레콤,김한섭,분석,73670135,87.807,85.145,-2.96249 (97.03751),,2017/02/03 15:41:00,
17,2068113024,(주)신우콤,곽영석,분석,73675289,87.814,85.151,-2.95570 (97.0443),,2017/02/03 11:51:00,
18,1148182595,주식회사 싸인텔레콤,성기빈,분석,73679540,87.819,85.156,-2.95011 (97.04989),,2017/02/06 09:17:00,
19,1078835701,주식회사디앤아이시스템,김수진,분석,73680603,87.82,85.157,-2.94870 (97.0513),,2017/02/06 09:18:00,
20,2118774990,(주)제이에프텍,김중규,분석,73682881,87.823,85.16,-2.94570 (97.0543),,2017/02/06 15:54:00,
21,1078167709,온세텔레콤(주),박준학,분석,73705277,87.849,85.186,-2.91620 (97.0838),,2017/02/03 08:17:00,
22,1098603593,주식회사 완일이씨에스,김경창,분석,73706740,87.851,85.187,-2.91428 (97.08572),,2017/02/07 09:23:00,
23,1078701368,주식회사 라이프포스,이학원,분석,73716290,87.862,85.198,-2.90170 (97.0983),,2017/02/03 10:14:00,
24,1068611721,우리보안 주식회사,이명재,분석,73717500,87.864,85.2,-2.90010 (97.0999),,2017/02/06 15:08:00,
25,2148668087,주식회사 네오티스,이운학,분석,73720160,87.867,85.203,-2.89660 (97.1034),,2017/02/03 14:59:00,
26,1058186995,부원동력(주),이병의,분석,73722815,87.87,85.206,-2.89310 (97.1069),,2017/02/06 08:20:00,
27,1178153920,엠에스원디지털 주식회사,엄종만,분석,73727290,87.876,85.211,-2.88721 (97.11279),,2017/02/03 20:23:00,
28,1108177993,(주)제이투유지콤,장현석,분석,73731089,87.88,85.216,-2.88221 (97.11779),,2017/02/03 10:38:00,
29,2148829787,주식회사 노바에스앤씨,최성운,분석,73736480,87.886,85.222,-2.87510 (97.1249),,2017/02/06 15:12:00,
30,2068172829,한사랑엔지니어링 주식회사,권갑순,분석,73737923,87.888,85.223,-2.87320 (97.1268),,2017/02/06 14:14:00,
31,2378700035,주식회사 사운드플레이스,도상우,분석,73750530,87.903,85.238,-2.85660 (97.1434),,2017/02/06 12:47:00,
32,1098617947,(주)소망아이앤티,서창숙,분석,73753941,87.907,85.242,-2.85210 (97.1479),,2017/02/06 10:28:00,
33,2068179706,(주)씨엠유니버샬,전재용,분석,73757210,87.911,85.246,-2.84780 (97.1522),,2017/02/06 16:55:00,
34,2048146873,(주)세원네트웍스,인석진,분석,73766240,87.922,85.256,-2.83590 (97.1641),,2017/02/06 09:18:00,
35,1108174749,유프로시스(주),김종본,분석,73781196,87.94,85.273,-2.81620 (97.1838),,2017/02/03 17:45:00,
36,1098603050,(주)이루기술,박지현,분석,73784233,87.943,85.277,-2.81220 (97.1878),,2017/02/03 11:34:00,
37,1098613335,(주)준영시스템,임요웅,분석,73789547,87.95,85.283,-2.80521 (97.19479),,2017/02/06 09:32:00,
38,1058164176,(주)신보파워텍,공민우,분석,73793800,87.955,85.288,-2.79960 (97.2004),,2017/02/07 12:51:00,
39,1408169475,주식회사 제이앤제이파워스,박재옥,분석,73796900,87.958,85.292,-2.79552 (97.20448),,2017/02/06 15:36:00,
40,1288147108,주식회사 씨앤씨전력,정행엽,분석,73800000,87.962,85.295,-2.79144 (97.20856),,2017/02/03 15:08:00,
41,1408177811,주식회사 네오비젼,유정식,분석,73800180,87.962,85.295,-2.79120 (97.2088),,2017/02/06 19:17:00,
42,1138636870,주식회사 나우시스템,이종한,분석,73811430,87.976,85.308,-2.77638 (97.22362),,2017/02/06 09:41:00,
43,1018700532,주식회사 우리통신,박현준,분석,73811630,87.976,85.309,-2.77612 (97.22388),,2017/02/07 12:56:00,
44,1198600031,(주)씨에스콘트롤즈,황순길,분석,73812323,87.977,85.309,-2.77520 (97.2248),,2017/02/06 09:56:00,
45,5048133604,(주)다온네트웍스,김진환,분석,73814205,87.979,85.312,-2.77273 (97.22727),,2017/02/03 15:17:00,
46,1138150993,주식회사 우진정보,배재중,분석,73817000,87.982,85.315,-2.76904 (97.23096),,2017/02/06 13:19:00,
47,1058683498,주식회사 일동전력,김효신,분석,73820620,87.987,85.319,-2.76428 (97.23572),,2017/02/07 08:31:00,
48,2148883836,주식회사 포엠넷,전영진,분석,73829026,87.997,85.329,-2.75320 (97.2468),,2017/02/03 14:55:00,
49,2068678056,주식회사 주영네트웍스,김재현,분석,73829560,87.997,85.329,-2.75250 (97.2475),,2017/02/03 16:53:00,
50,1098162433,광명정보통신(주),김형준,분석,73834719,88.004,85.335,-2.74571 (97.25429),,2017/02/03 10:13:00,
51,1148664613,(주)상우정보기술,하문한,분석,73842610,88.013,85.344,-2.73531 (97.26469),,2017/02/05 21:52:00,
52,1168147309,문엔지니어링(주),문헌일,분석,73850500,88.022,85.354,-2.72492 (97.27508),,2017/02/07 10:21:00,
53,1078155407,(주)윤익계전,안용준,분석,73852100,88.024,85.355,-2.72281 (97.27719),,2017/02/03 15:33:00,
54,2078136393,삼언전공 주식회사,공석복,분석,73855540,88.028,85.359,-2.71828 (97.28172),,2017/02/07 09:11:00,
55,2208709343,유텔레콤주식회사,이종일,분석,73857580,88.031,85.362,-2.71559 (97.28441),,2017/02/03 20:28:00,
56,1170233690,화진정보통신,김병철,분석,73859716,88.033,85.364,-2.71278 (97.28722),,2017/02/06 09:25:00,
57,2158643395,민네트워크(주),황상택,분석,73863800,88.038,85.369,-2.70740 (97.2926),,2017/02/06 09:20:00,
58,2098101546,교보정보통신(주),오교철,분석,73863872,88.038,85.369,-2.70731 (97.29269),,2017/02/06 09:07:00,
59,1098643839,주식회사 케이비정보통신,지인현,분석,73888698,88.068,85.398,-2.67460 (97.3254),,2017/02/06 10:16:00,
60,1138683636,주식회사 온택,허윤훈,분석,73901832,88.084,85.413,-2.65730 (97.3427),,2017/02/06 09:59:00,
61,1198653668,에코아이넷(주),박은희,분석,73910335,88.094,85.423,-2.64610 (97.3539),,2017/02/03 11:42:00,
62,1068178635,(주)지아이테크놀러지,홍영우,분석,73911373,88.095,85.424,-2.64474 (97.35526),,2017/02/03 14:44:00,
63,1138111990,한경기전(주),박태용,분석,73923090,88.109,85.437,-2.62930 (97.3707),,2017/02/07 08:06:00,
64,1198191309,용진하이테크에너지 주식회사,김진석,분석,73931210,88.119,85.447,-2.61861 (97.38139),,2017/02/06 10:17:00,
65,1068642694,우림정보시스템(주),조원희,분석,73939488,88.128,85.456,-2.60770 (97.3923),,2017/02/03 16:17:00,
66,2118161547,(주)필네트,박영만,분석,73946100,88.136,85.464,-2.59900 (97.401),,2017/02/06 13:38:00,
67,2208100563,경창계전 주식회사,이성욱,분석,73948680,88.139,85.467,-2.59560 (97.4044),,2017/02/06 13:45:00,
68,2108122823,우영정보통신(주),황인희,분석,73949300,88.14,85.468,-2.59478 (97.40522),,2017/02/07 09:10:00,
69,1100927653,주원SYSTEM,라승복,분석,73961500,88.155,85.482,-2.57871 (97.42129),,2017/02/06 09:23:00,
70,1180966913,브리패스,권종철,분석,73996693,88.197,85.522,-2.53235 (97.46765),,2017/02/06 09:29:00,
71,1068602969,케이티아이시시 주식회사,강두성,분석,74010650,88.213,85.539,-2.51397 (97.48603),,2017/02/03 13:17:00,
72,1078677070,씨지에스아이티(주),최규식,분석,74023910,88.229,85.554,-2.49650 (97.5035),,2017/02/06 10:01:00,
73,1180565240,성보전자통신,양행천,분석,74037370,88.245,85.57,-2.47878 (97.52122),,2017/02/07 03:26:00,
74,1108190166,(주)페타네트워크,강인희,분석,74038866,88.247,85.571,-2.47680 (97.5232),,2017/02/06 17:48:00,
75,1068633138,포에스미디어(주),원태우,분석,74044119,88.253,85.577,-2.46989 (97.53011),,2017/02/07 09:17:00,
76,3148189882,주식회사 제이케이씨엔에스,이동호,분석,74053292,88.264,85.588,-2.45780 (97.5422),,2017/02/07 09:27:00,
77,2098147159,(주)동방에스앤에스,정재훈,분석,74058227,88.27,85.594,-2.45130 (97.5487),,2017/02/06 16:14:00,
78,2048162849,(주)비마전기,박상래,분석,74059360,88.271,85.595,-2.44981 (97.55019),,2017/02/03 09:34:00,
79,1138151895,주식회사 온리정보통신,김서규,분석,74059385,88.271,85.595,-2.44978 (97.55022),,2017/02/06 19:02:00,
80,1208168171,성호아이피오(주),민문기,분석,74066700,88.28,85.603,-2.44014 (97.55986),,2017/02/06 17:39:00,
81,1188111020,한영정보통신(주),박대서,분석,74072423,88.287,85.61,-2.43260 (97.5674),,2017/02/06 08:14:00,
