순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,예가대비 투찰률(%),기초대비 투찰률(%),기초대비 사정률(%),추첨번호,투찰일시,비고
1,5518100318,주식회사 씨스테크,류니나,분석,48269810,88.0,88.462,0.52610 (100.5261),,2021/11/21 23:04:11,1순위
2,2048626080,주식회사 엘제이이엔지,임성희,분석,48272450,88.004,88.467,0.53159 (100.53159),,2021/11/18 12:43:53,2순위
3,6614700533,좋은친구들,박지영,분석,48276866,88.013,88.475,0.54079 (100.54079),,2021/11/22 08:35:09,3순위
4,1171187825,신원전자,안희덕,분석,48279290,88.017,88.48,0.54584 (100.54584),,2021/11/19 08:42:30,4순위
5,2298127797,(주)스페이스링크,양희식,분석,48280130,88.018,88.481,0.54759 (100.54759),,2021/11/22 09:53:29,5순위
6,1178188899,주식회사 시큐렉스,최영희,분석,48286040,88.029,88.492,0.55990 (100.5599),,2021/11/17 09:58:29,6순위
7,2128142640,팍스코이앤아이(주),송기민,분석,48303660,88.061,88.525,0.59659 (100.59659),,2021/11/18 13:41:12,7순위
8,1400601293,대정ST,도정임,분석,48307100,88.068,88.531,0.60376 (100.60376),,2021/11/19 17:22:54,8순위
9,1138163445,주식회사 삼도통신,이정경,분석,48334700,88.118,88.581,0.66123 (100.66123),,2021/11/18 16:04:57,9순위
10,1041167463,에이치필,홍명성,분석,48354894,88.155,88.618,0.70329 (100.70329),,2021/11/22 07:22:43,10순위
11,1138618964,주식회사 에스엠플러스정보통신,왕성모,분석,48371560,88.185,88.649,0.73800 (100.738),,2021/11/19 08:41:45,11순위
12,6768601611,주식회사 루트웰,노덕권,분석,48393200,88.225,88.689,0.78307 (100.78307),,2021/11/22 09:20:44,12순위
13,5442400340,도경산업,박경진,분석,48395000,88.228,88.692,0.78681 (100.78681),,2021/11/21 22:07:09,13순위
14,1108604272,소리콤 주식회사,정재홍,분석,48407190,88.25,88.714,0.81220 (100.8122),,2021/11/22 00:30:59,14순위
15,2018603701,소성정보기술 (주),김금남,분석,48409513,88.254,88.718,0.81704 (100.81704),,2021/11/22 08:34:41,15순위
16,7385400471,태건,최진영,분석,48424028,88.281,88.745,0.84727 (100.84727),,2021/11/22 07:17:53,16순위
17,3054460095,하늘기업,고명천,분석,48439000,88.308,88.773,0.87845 (100.87845),,2021/11/20 07:07:20,17순위
18,2748800123,중앙씨앤티 주식회사,윤영진,분석,48455800,88.339,88.803,0.91344 (100.91344),,2021/11/19 15:35:37,18순위
19,1071736582,유화상사,장재화,분석,48474000,88.372,88.837,0.95134 (100.95134),,2021/11/22 08:29:20,19순위
20,1178186611,주식회사 에프에이일렉콤,박인숙,분석,48474132,88.372,88.837,0.95161 (100.95161),,2021/11/22 08:43:59,20순위
21,1091537109,대성상사,장근영,분석,48485000,88.392,88.857,0.97425 (100.97425),,2021/11/22 00:03:14,21순위
22,1132352744,발해,장재용,분석,48494000,88.408,88.873,0.99299 (100.99299),,2021/11/20 21:26:26,22순위
23,2148840477,주식회사 알비에스테크,김동헌,분석,48593308,88.589,89.055,1.19981 (101.19981),,2021/11/22 08:40:49,23순위
24,1048120291,청음통신 주식회사,임광희,분석,48600000,88.602,89.068,1.21375 (101.21375),,2021/11/22 09:41:54,24순위
25,6494500179,지유(GU)조명,최문정,분석,48615387,88.63,89.096,1.24579 (101.24579),,2021/11/22 09:23:36,25순위
26,1138137229,두복산전(주),이영두,분석,48632480,88.661,89.127,1.28139 (101.28139),,2021/11/19 10:18:30,26순위
27,2170952282,조왕스텐,신인기,분석,48656000,88.704,89.17,1.33037 (101.33037),,2021/11/22 09:38:51,27순위
