순위,사업자 등록번호,업체명,대표,경쟁사 분석,투찰금액,가격점수,예가대비 투찰률(%)  A,기초대비 투찰률(%),순공사대비 사정률(%),추첨번호,투찰일시,비고
1,2208799807,아이브스 주식회사  [최종낙찰],배영훈,분석,60921860,85.0,89.588,89.908,-0.3229 (99.6771),7 13,2022/09/28 09:51:58,
2,1128141680,주식회사엠케이씨티,장재철,분석,60922947,85.0,89.59,89.909,-0.3212 (99.6788),9 15,2022/09/30 08:24:14,
3,2198111833,주식회사 대영아이오티,전인구,분석,60923993,85.0,89.592,89.911,-0.3194 (99.6806),4 14,2022/09/28 09:37:40,
4,1138694415,건웅정보통신 주식회사,김지유,분석,60924990,85.0,89.593,89.912,-0.3178 (99.6822),1 6,2022/09/29 09:38:56,
5,3208800732,주식회사 그린랩스,안동현,분석,60925150,85.0,89.594,89.913,-0.3176 (99.6824),5 15,2022/09/30 09:42:02,
6,2148886584,주식회사 수민텔레콤,이상민,분석,60925160,85.0,89.594,89.913,-0.3175 (99.6825),1 2,2022/09/28 10:31:32,
7,1088179135,주왕전기통신(주),권이길,분석,60925760,85.0,89.595,89.914,-0.3166 (99.6834),13 15,2022/09/29 10:02:01,
8,5518100318,주식회사 씨스테크,이우호,분석,60926250,85.0,89.595,89.914,-0.3158 (99.6842),11 7,2022/09/30 00:53:08,
9,2178113330,(주)오성에스이엠,오성표,분석,60926681,85.0,89.596,89.915,-0.3150 (99.685),6 4,2022/09/30 09:01:22,
10,1068180219,(주)네트웍리더,권철영,분석,60927480,85.0,89.597,89.916,-0.3137 (99.6863),13 15,2022/09/29 16:42:04,
11,7048701285,주식회사 하랑에스아이,김호중,분석,60928460,85.0,89.599,89.918,-0.3121 (99.6879),5 11,2022/09/28 10:03:33,
12,2148768177,(주)프라임엔시스템,윤재중,분석,60928600,85.0,89.599,89.918,-0.3119 (99.6881),2 8,2022/09/30 09:47:54,
13,1058123684,주식회사 우전정보통신,이정,분석,60929413,85.0,89.6,89.919,-0.3106 (99.6894),2 3,2022/09/29 09:47:38,
14,2048187419,(주)디지털우민,문장석,분석,60930166,85.0,89.602,89.92,-0.3093 (99.6907),3 8,2022/09/29 14:35:33,
